case_id,variant,backend_count,available_backend_count,success_backend_count,failed_backend_count,min_best_energy,max_best_energy,range_best_energy,mean_best_energy,median_best_energy,min_delta_vs_full,max_delta_vs_full,range_delta_vs_full,mean_delta_vs_full,median_delta_vs_full,success_backends,failed_backends,gemini_best_energy,gemini_delta_vs_full,gemini_success,gpt54_best_energy,gpt54_delta_vs_full,gpt54_success,claude_best_energy,claude_delta_vs_full,claude_success
005,no_termination,3,2,2,1,-10.643351554870605,-10.643351554870605,0.0,-10.643351554870605,-10.643351554870605,0.0,0.0,0.0,0.0,0.0,"gpt54,claude",gemini,,,False,-10.643351554870605,0.0,True,-10.643351554870605,0.0,True
012,full,3,2,2,1,-2.768667221069336,-2.746053695678711,0.022613525390625,-2.7573604583740234,-2.7573604583740234,0.0,0.0,0.0,0.0,0.0,"gpt54,claude",gemini,,,False,-2.768667221069336,0.0,True,-2.746053695678711,0.0,True
012,no_forbid,3,2,2,1,-2.746053695678711,-2.746053695678711,0.0,-2.746053695678711,-2.746053695678711,0.0,0.022613525390625,0.022613525390625,0.0113067626953125,0.0113067626953125,"gpt54,claude",gemini,,,False,-2.746053695678711,0.022613525390625,True,-2.746053695678711,0.0,True
012,no_slip,3,2,2,1,-2.6935501098632812,-2.6933975219726562,0.000152587890625,-2.6934738159179688,-2.6934738159179688,0.05250358581542969,0.07526969909667969,0.02276611328125,0.06388664245605469,0.06388664245605469,"gpt54,claude",gemini,,,False,-2.6933975219726562,0.07526969909667969,True,-2.6935501098632812,0.05250358581542969,True
012,no_termination,3,2,2,1,-2.746053695678711,-2.6935501098632812,0.05250358581542969,-2.719801902770996,-2.719801902770996,0.0,0.07511711120605469,0.07511711120605469,0.037558555603027344,0.037558555603027344,"gpt54,claude",gemini,,,False,-2.6935501098632812,0.07511711120605469,True,-2.746053695678711,0.0,True
013,full,3,3,3,0,-10.361473083496094,-9.077720642089844,1.28375244140625,-9.586260477701822,-9.319587707519531,0.0,0.0,0.0,0.0,0.0,"gemini,gpt54,claude",,-9.077720642089844,0.0,True,-10.361473083496094,0.0,True,-9.319587707519531,0.0,True
013,no_forbid,3,2,2,1,-10.361473083496094,-9.077415466308594,1.2840576171875,-9.719444274902344,-9.719444274902344,0.0,0.2421722412109375,0.2421722412109375,0.12108612060546875,0.12108612060546875,"gpt54,claude",gemini,,,False,-10.361473083496094,0.0,True,-9.077415466308594,0.2421722412109375,True
013,no_slip,3,2,2,1,-10.258064270019531,-9.669624328613281,0.58843994140625,-9.963844299316406,-9.963844299316406,-0.35003662109375,0.1034088134765625,0.4534454345703125,-0.12331390380859375,-0.12331390380859375,"gpt54,claude",gemini,,,False,-10.258064270019531,0.1034088134765625,True,-9.669624328613281,-0.35003662109375,True
013,no_termination,3,2,2,1,-10.361412048339844,-9.672615051269531,0.6887969970703125,-10.017013549804688,-10.017013549804688,-0.35302734375,6.103515625e-05,0.35308837890625,-0.176483154296875,-0.176483154296875,"gpt54,claude",gemini,,,False,-10.361412048339844,6.103515625e-05,True,-9.672615051269531,-0.35302734375,True
015,full,3,3,3,0,-1.5704212188720703,-1.351470947265625,0.2189502716064453,-1.4909801483154297,-1.5510482788085938,0.0,0.0,0.0,0.0,0.0,"gemini,gpt54,claude",,-1.5704212188720703,0.0,True,-1.5510482788085938,0.0,True,-1.351470947265625,0.0,True
015,no_forbid,3,2,2,1,-1.3554611206054688,-1.351470947265625,0.00399017333984375,-1.3534660339355469,-1.3534660339355469,0.0,0.195587158203125,0.195587158203125,0.0977935791015625,0.0977935791015625,"gpt54,claude",gemini,,,False,-1.3554611206054688,0.195587158203125,True,-1.351470947265625,0.0,True
015,no_slip,3,2,2,1,-1.5704517364501953,-1.5380783081054688,0.03237342834472656,-1.554265022277832,-1.554265022277832,-0.2189807891845703,0.012969970703125,0.2319507598876953,-0.10300540924072266,-0.10300540924072266,"gpt54,claude",gemini,,,False,-1.5380783081054688,0.012969970703125,True,-1.5704517364501953,-0.2189807891845703,True
015,no_termination,3,2,2,1,-1.5585556030273438,-1.5527877807617188,0.005767822265625,-1.5556716918945312,-1.5556716918945312,-0.20131683349609375,-0.00750732421875,0.19380950927734375,-0.10441207885742188,-0.10441207885742188,"gpt54,claude",gemini,,,False,-1.5585556030273438,-0.00750732421875,True,-1.5527877807617188,-0.20131683349609375,True
016,full,3,2,2,1,-12.998725891113281,-12.998695373535156,3.0517578125e-05,-12.998710632324219,-12.998710632324219,0.0,0.0,0.0,0.0,0.0,"gpt54,claude",gemini,,,False,-12.998725891113281,0.0,True,-12.998695373535156,0.0,True
016,no_forbid,3,2,2,1,-12.998695373535156,-12.998695373535156,0.0,-12.998695373535156,-12.998695373535156,0.0,3.0517578125e-05,3.0517578125e-05,1.52587890625e-05,1.52587890625e-05,"gpt54,claude",gemini,,,False,-12.998695373535156,3.0517578125e-05,True,-12.998695373535156,0.0,True
016,no_slip,3,2,2,1,-12.998695373535156,-12.998695373535156,0.0,-12.998695373535156,-12.998695373535156,0.0,3.0517578125e-05,3.0517578125e-05,1.52587890625e-05,1.52587890625e-05,"gpt54,claude",gemini,,,False,-12.998695373535156,3.0517578125e-05,True,-12.998695373535156,0.0,True
016,no_termination,3,2,2,1,-12.998695373535156,-12.998695373535156,0.0,-12.998695373535156,-12.998695373535156,0.0,3.0517578125e-05,3.0517578125e-05,1.52587890625e-05,1.52587890625e-05,"gpt54,claude",gemini,,,False,-12.998695373535156,3.0517578125e-05,True,-12.998695373535156,0.0,True
019,full,3,3,3,0,-3.5041396617889404,-3.3380630016326904,0.16607666015625,-3.4487807750701904,-3.5041396617889404,0.0,0.0,0.0,0.0,0.0,"gemini,gpt54,claude",,-3.3380630016326904,0.0,True,-3.5041396617889404,0.0,True,-3.5041396617889404,0.0,True
019,no_forbid,3,2,2,1,-3.5041396617889404,-3.5041396617889404,0.0,-3.5041396617889404,-3.5041396617889404,0.0,0.0,0.0,0.0,0.0,"gpt54,claude",gemini,,,False,-3.5041396617889404,0.0,True,-3.5041396617889404,0.0,True
019,no_slip,3,2,2,1,-3.3380630016326904,-3.3380630016326904,0.0,-3.3380630016326904,-3.3380630016326904,0.16607666015625,0.16607666015625,0.0,0.16607666015625,0.16607666015625,"gpt54,claude",gemini,,,False,-3.3380630016326904,0.16607666015625,True,-3.3380630016326904,0.16607666015625,True
019,no_termination,3,2,2,1,-3.5041396617889404,-3.5041396617889404,0.0,-3.5041396617889404,-3.5041396617889404,0.0,0.0,0.0,0.0,0.0,"gpt54,claude",gemini,,,False,-3.5041396617889404,0.0,True,-3.5041396617889404,0.0,True
023,full,3,3,3,0,-14.549540519714355,-14.549540519714355,0.0,-14.549540519714355,-14.549540519714355,0.0,0.0,0.0,0.0,0.0,"gemini,gpt54,claude",,-14.549540519714355,0.0,True,-14.549540519714355,0.0,True,-14.549540519714355,0.0,True
023,no_forbid,3,2,2,1,-14.549540519714355,-14.549540519714355,0.0,-14.549540519714355,-14.549540519714355,0.0,0.0,0.0,0.0,0.0,"gpt54,claude",gemini,,,False,-14.549540519714355,0.0,True,-14.549540519714355,0.0,True
023,no_slip,3,2,2,1,-14.549540519714355,-14.549540519714355,0.0,-14.549540519714355,-14.549540519714355,0.0,0.0,0.0,0.0,0.0,"gpt54,claude",gemini,,,False,-14.549540519714355,0.0,True,-14.549540519714355,0.0,True
023,no_termination,3,2,2,1,-14.549540519714355,-14.549540519714355,0.0,-14.549540519714355,-14.549540519714355,0.0,0.0,0.0,0.0,0.0,"gpt54,claude",gemini,,,False,-14.549540519714355,0.0,True,-14.549540519714355,0.0,True
024,full,3,3,3,0,-3.715871810913086,-3.417623519897461,0.298248291015625,-3.6164557139078775,-3.715871810913086,0.0,0.0,0.0,0.0,0.0,"gemini,gpt54,claude",,-3.715871810913086,0.0,True,-3.715871810913086,0.0,True,-3.417623519897461,0.0,True
024,no_forbid,3,2,2,1,-3.715871810913086,-3.715871810913086,0.0,-3.715871810913086,-3.715871810913086,-0.298248291015625,0.0,0.298248291015625,-0.1491241455078125,-0.1491241455078125,"gpt54,claude",gemini,,,False,-3.715871810913086,0.0,True,-3.715871810913086,-0.298248291015625,True
024,no_slip,3,2,2,1,-3.715871810913086,-3.715871810913086,0.0,-3.715871810913086,-3.715871810913086,-0.298248291015625,0.0,0.298248291015625,-0.1491241455078125,-0.1491241455078125,"gpt54,claude",gemini,,,False,-3.715871810913086,0.0,True,-3.715871810913086,-0.298248291015625,True
024,no_termination,3,2,2,1,-3.715871810913086,-3.715871810913086,0.0,-3.715871810913086,-3.715871810913086,-0.298248291015625,0.0,0.298248291015625,-0.1491241455078125,-0.1491241455078125,"gpt54,claude",gemini,,,False,-3.715871810913086,0.0,True,-3.715871810913086,-0.298248291015625,True
