backend,variant,attempt_index,planned_site_type,actual_site_type,energy_eV,is_chemical_slip,is_dissociated,bond_change_count,running_best_energy_eV
grok4,full,2,bridge,bridge,-3.1265106201171875,True,False,0,-4.044700622558594
grok4,full,3,bridge,bridge,-3.0692596435546875,True,False,0,-4.044700622558594
grok4,no_slip,1,ontop,ontop,-3.1317062377929688,False,False,0,-3.1317062377929688
grok4,no_slip,2,bridge,bridge,-3.0713958740234375,True,False,0,-3.1317062377929688
grok4,no_slip,3,bridge,bridge,-3.5939178466796875,True,False,0,-3.5939178466796875
grok4,no_slip,4,hollow,hollow (HCP/Subsurf-Atom),-1.3214263916015625,True,True,1,-3.5939178466796875
grok4,no_slip,5,hollow,bridge,-3.0967254638671875,True,False,0,-3.5939178466796875
grok4,no_forbid,1,bridge,bridge,-3.5939483642578125,True,False,0,-3.5939483642578125
grok4,no_forbid,2,bridge,bridge,-3.0692291259765625,True,False,0,-3.5939483642578125
grok4,no_forbid,3,hollow,hollow (HCP/Subsurf-Atom),-1.3214569091796875,True,True,1,-3.5939483642578125
grok4,no_forbid,4,ontop,ontop,-3.1321334838867188,False,False,0,-3.5939483642578125
grok4,no_forbid,5,bridge,bridge,-3.1265106201171875,True,False,0,-3.5939483642578125
grok4,no_termination,1,bridge,bridge,-3.0692901611328125,True,False,0,-3.0692901611328125
grok4,no_termination,2,bridge,bridge,-3.5939178466796875,True,False,0,-3.5939178466796875
grok4,no_termination,3,ontop,hollow (HCP/Subsurf-Atom),-4.027214050292969,True,False,0,-4.027214050292969
grok4,no_termination,4,ontop,ontop,-4.378623962402344,True,True,1,-4.027214050292969
grok4,no_termination,5,bridge,bridge,-3.1265106201171875,True,False,0,-4.027214050292969
grok4,single_shot,1,bridge,bridge,-3.5939178466796875,True,False,0,-3.5939178466796875
openai_gpt54,full,1,ontop,hollow (HCP/Subsurf-Atom),-4.0125274658203125,True,False,0,-4.0125274658203125
openai_gpt54,full,2,ontop,ontop,-1.4682159423828125,False,False,0,-4.0125274658203125
openai_gpt54,full,3,hollow,ontop,-2.9741859436035156,True,False,0,-4.0125274658203125
openai_gpt54,full,4,bridge,ontop,-3.3416786193847656,True,False,0,-4.0125274658203125
openai_gpt54,full,5,bridge,ontop,-2.9313697814941406,True,False,0,-4.0125274658203125
openai_gpt54,no_slip,1,ontop,hollow (HCP/Subsurf-Atom),-4.0125274658203125,True,False,0,-4.0125274658203125
openai_gpt54,no_slip,2,bridge,ontop,-3.3416786193847656,True,False,0,-4.0125274658203125
openai_gpt54,no_slip,3,hollow,ontop,-2.9741859436035156,True,False,0,-4.0125274658203125
openai_gpt54,no_slip,4,bridge,hollow (HCP/Subsurf-Atom),-4.099582672119141,True,False,0,-4.099582672119141
openai_gpt54,no_slip,5,hollow,ontop,-3.1103553771972656,True,False,0,-4.099582672119141
openai_gpt54,no_forbid,1,ontop,hollow (HCP/Subsurf-Atom),-4.0125274658203125,True,False,0,-4.0125274658203125
openai_gpt54,no_forbid,2,ontop,ontop,-1.4682159423828125,False,False,0,-4.0125274658203125
openai_gpt54,no_forbid,3,bridge,ontop,-3.3416786193847656,True,False,0,-4.0125274658203125
openai_gpt54,no_forbid,4,hollow,hollow (HCP/Subsurf-Atom),-4.148807525634766,True,False,0,-4.148807525634766
openai_gpt54,no_forbid,5,hollow,ontop,-3.1103553771972656,True,False,0,-4.148807525634766
openai_gpt54,no_termination,1,ontop,hollow (HCP/Subsurf-Atom),-4.0125274658203125,True,False,0,-4.0125274658203125
openai_gpt54,no_termination,2,hollow,ontop,-2.9741859436035156,True,False,0,-4.0125274658203125
openai_gpt54,no_termination,3,bridge,ontop,-3.3416786193847656,True,False,0,-4.0125274658203125
openai_gpt54,no_termination,4,ontop,ontop,-1.4682159423828125,False,False,0,-4.0125274658203125
openai_gpt54,no_termination,5,bridge,ontop,-2.9313697814941406,True,False,0,-4.0125274658203125
openai_gpt54,single_shot,1,ontop,hollow (HCP/Subsurf-Atom),-4.0125274658203125,True,False,0,-4.0125274658203125
