case_id,variant,available_backend_count,failed_backend_count,best_energy,best_backend,delta_vs_full_best,failed_backends
10,no_slip,4,0,-2.7176666259765625,claude,0.0,
10,no_forbid,4,0,-2.7176666259765625,claude,0.0,
10,no_termination,4,0,-2.7176666259765625,claude,0.0,
10,single_shot,4,0,-2.7176666259765625,gpt54,0.0,
11,full,4,0,-2.4184722900390625,claude,0.0,
11,no_slip,4,0,-2.4184722900390625,claude,0.0,
11,no_forbid,4,0,-2.4184722900390625,claude,0.0,
11,no_termination,4,0,-2.4184722900390625,claude,0.0,
11,single_shot,4,0,-2.4184722900390625,claude,0.0,
12,full,4,0,-2.3513641357421875,claude,0.0,
12,no_slip,4,0,-2.3513641357421875,claude,0.0,
12,no_forbid,4,0,-2.3513641357421875,claude,0.0,
12,no_termination,4,0,-2.3513641357421875,claude,0.0,
12,single_shot,4,0,-2.0813217163085938,claude,0.27004241943359375,
13,full,4,0,-2.8251419067382812,claude,0.0,
13,no_slip,4,0,-2.8251419067382812,claude,0.0,
13,no_forbid,4,0,-2.8251419067382812,claude,0.0,
13,no_termination,4,0,-2.8301544189453125,claude,-0.00501251220703125,
13,single_shot,4,0,-2.8251419067382812,claude,0.0,
14,full,4,0,-3.6166324615478516,gemini,0.0,
14,no_slip,4,0,-3.6166324615478516,gemini,0.0,
14,no_forbid,4,0,-3.6166324615478516,gemini,0.0,
14,no_termination,4,0,-3.6166324615478516,gemini,0.0,
14,single_shot,4,0,-3.6166324615478516,gemini,0.0,
15,full,4,0,-3.257709503173828,gemini,0.0,
15,no_slip,4,0,-3.257709503173828,claude,0.0,
15,no_forbid,4,0,-3.3851089477539062,gpt54,-0.12739944458007812,
15,no_termination,4,0,-3.257709503173828,claude,0.0,
15,single_shot,4,0,-2.9636917114257812,gpt54,0.2940177917480469,
16,full,4,0,-4.662910461425781,claude,0.0,
16,no_slip,4,0,-4.662910461425781,gemini,0.0,
16,no_forbid,4,0,-4.662910461425781,claude,0.0,
16,no_termination,4,0,-4.662910461425781,claude,0.0,
16,single_shot,4,0,-4.662910461425781,claude,0.0,
17,full,4,0,-3.241016387939453,gpt54,0.0,
17,no_slip,4,0,-3.240985870361328,claude,3.0517578125e-05,
17,no_forbid,4,0,-3.240985870361328,claude,3.0517578125e-05,
17,no_termination,4,0,-3.240985870361328,claude,3.0517578125e-05,
17,single_shot,4,0,-3.0664215087890625,grok4,0.17459487915039062,
18,full,4,0,-3.1291351318359375,grok4,0.0,
18,no_slip,4,0,-3.2147865295410156,claude,-0.08565139770507812,
18,no_forbid,4,0,-3.2147865295410156,gpt54,-0.08565139770507812,
18,no_termination,4,0,-3.2147865295410156,claude,-0.08565139770507812,
18,single_shot,4,0,-2.5189666748046875,claude,0.61016845703125,
19,full,4,0,-4.044700622558594,grok4,0.0,
19,no_slip,4,0,-4.148807525634766,claude,-0.10410690307617188,
19,no_forbid,4,0,-4.148807525634766,claude,-0.10410690307617188,
19,no_termination,4,0,-4.027214050292969,grok4,0.017486572265625,
19,single_shot,4,0,-4.0125274658203125,claude,0.03217315673828125,
20,full,4,0,-11.652706146240234,claude,0.0,
20,no_slip,4,0,-11.829994201660156,gemini,-0.17728805541992188,
20,no_forbid,4,0,-11.652278900146484,claude,0.00042724609375,
20,no_termination,4,0,-11.652278900146484,claude,0.00042724609375,
20,single_shot,4,0,-11.652278900146484,claude,0.00042724609375,
