canonical_dir,kind,dataset,backend,summary_file,summary_rows,expected_summary_rows,single_shot_summary_rows,observed_case_count,observed_variant_count,result_json_count,xyz_count,traj_count,artifact_ref_count,missing_artifact_ref_count,zero_artifact_ref_result_json_count,missing_artifact_ref_result_json_count,notes
legacy_raw_sources/cmu20_grok4_progressive_one_shot_epfl_control,legacy_one_shot_or_control,CMU20,grok4,summary.csv,2,,,2,0,2,4,4,20,0,0,0,Legacy/provenance one-shot or control source; not the primary 5-variant ablation source.
legacy_raw_sources/cmu20_openai_gpt54_one_shot,legacy_one_shot_or_control,CMU20,openai_gpt54,summary.csv,20,20,,20,0,20,40,40,200,0,0,0,Legacy/provenance one-shot or control source; not the primary 5-variant ablation source.
legacy_raw_sources/cmu20_openai_gpt54_one_shot_retry,legacy_one_shot_or_control,CMU20,openai_gpt54,summary.csv,2,,,2,0,2,4,4,20,0,0,0,Legacy/provenance one-shot or control source; not the primary 5-variant ablation source.
ocd24_anthropic_sonnet46_ablation,ablation,OCD-GMAE-24,anthropic_sonnet46,ablation_summary.csv,120,120,,24,5,110,574,220,1808,0,0,0,
ocd24_anthropic_sonnet46_one_shot,independent_one_shot,OCD-GMAE-24,anthropic_sonnet46,summary.csv,24,24,,24,0,24,48,48,240,0,0,0,
ocd24_gemini_ablation,ablation,OCD-GMAE-24,gemini,ablation_summary.csv,120,120,,24,5,120,614,240,1948,0,0,0,
ocd24_gemini_one_shot,independent_one_shot,OCD-GMAE-24,gemini,summary.csv,24,24,,24,0,24,48,48,240,0,0,0,
ocd24_grok4_ablation,ablation,OCD-GMAE-24,grok4,ablation_summary.csv,120,120,,24,5,110,576,218,1806,0,1,0,
ocd24_grok4_one_shot,independent_one_shot,OCD-GMAE-24,grok4,summary.csv,24,24,,24,0,24,48,48,240,0,0,0,
ocd24_heuristic_baseline,baseline_heuristic,OCD-GMAE-24,heuristic,summary.csv,24,24,,24,0,24,72,0,96,0,0,0,
ocd24_openai_gpt54_ablation,ablation,OCD-GMAE-24,openai_gpt54,ablation_summary.csv,120,120,,24,5,110,562,220,1784,0,0,0,
ocd24_openai_gpt54_one_shot,independent_one_shot,OCD-GMAE-24,openai_gpt54,summary.csv,24,24,,24,0,24,48,48,240,0,0,0,
ocd24_random_baseline_n20,baseline_random,OCD-GMAE-24,random,summary.csv,24,24,,24,0,24,72,0,96,0,0,0,
ocd_rep50_anthropic_sonnet46_ablation,ablation,OCD-GMAE-rep50,anthropic_sonnet46,ablation_summary.csv,200,200,50,50,4,250,1223,500,3946,0,0,0,ablation_summary.csv contains full/no_slip/no_forbid/no_termination; independent single-shot rows are in single_shot_summary.csv. Main manuscript currently uses Full+1-Shot for rep50.
ocd_rep50_gemini_ablation,ablation,OCD-GMAE-rep50,gemini,ablation_summary.csv,200,200,50,50,4,250,1233,500,3966,0,0,0,ablation_summary.csv contains full/no_slip/no_forbid/no_termination; independent single-shot rows are in single_shot_summary.csv. Main manuscript currently uses Full+1-Shot for rep50.
ocd_rep50_grok4_ablation,ablation,OCD-GMAE-rep50,grok4,ablation_summary.csv,200,200,50,50,4,250,1217,500,4184,0,0,0,ablation_summary.csv contains full/no_slip/no_forbid/no_termination; independent single-shot rows are in single_shot_summary.csv. Main manuscript currently uses Full+1-Shot for rep50.
ocd_rep50_heuristic_baseline,baseline_heuristic,OCD-GMAE-rep50,heuristic,summary.csv,50,50,,50,0,50,150,0,200,0,0,0,
ocd_rep50_openai_gpt54_ablation,ablation,OCD-GMAE-rep50,openai_gpt54,ablation_summary.csv,200,200,50,50,4,250,1200,500,3900,0,0,0,ablation_summary.csv contains full/no_slip/no_forbid/no_termination; independent single-shot rows are in single_shot_summary.csv. Main manuscript currently uses Full+1-Shot for rep50.
ocd_rep50_random_baseline_n20,baseline_random,OCD-GMAE-rep50,random,summary.csv,50,50,,50,0,50,150,0,200,0,0,0,
