backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,config_name,ads_smiles,bulk_symbol,bulk_id,miller,shift,top,status,skip_reason,traj_count,valid_traj_count,best_total_energy,best_adsorption_energy_eV,best_config,adsorbagent_configs_tested,critic_loop_count,llm_token_count,llm_prompt_tokens,llm_completion_tokens,llm_successful_requests,llm_total_cost_usd,site_type,site_atoms,ads_bind_atoms,orient,cutoff_multiplier
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,11,11_Pd111_OH,*OH,Pd,mp-2,"(1,1,1)",0.167,True,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",19,19,-279.75537109375,-2.577228546142578,config_5,19,1,4636,3098,1538,5,0.0,ontop,Pd,O,"end-on, slightly tilted upright",1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,12,12_Au111_OH,*OH,Au,mp-81,"(1,1,1)",0.167,True,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",23,23,-91.96392059326172,-2.245380401611328,config_0,23,1,4066,2849,1217,5,0.0,ontop,Au,O,slightly tilted O-down end-on,1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,13,13_Ag100_OH,*OH,Ag,mp-124,"(1,0,0)",0.25,True,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",25,25,-103.35163879394531,-2.856945037841797,config_2,25,1,4058,2848,1210,5,0.0,ontop,Ag,O,end-on,1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,14,14_CoPt_OH,*OH,CoPt,mp-1225998,"(1,1,1)",0.042,True,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 1}",8,7,-448.2315979003906,-4.125019073486328,config_0,8,1,4290,2990,1300,5,0.0,ontop,Co,O,end-on,1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,15,15_Cu6Ga2_CH2CH2OH,*CH2CH2OH,Cu6Ga2,mp-865798,"(1,0,0)",0.248,True,skipped,no_traj_files,0,0,,,,,,,,,,,,,,,
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,16,16_Au2Hf_CH2CH2OH,*CH2CH2OH,Au2Hf,mp-1018153,"(1,0,2)",0.028,True,success,"{""desorbed"": 0, ""dissociated"": 4, ""read_error"": 0, ""surface_changed"": 0}",20,16,-354.4113464355469,-5.699554443359375,config_3,20,1,5147,3364,1783,5,0.0,bridge,Hf;Au,O,end-on tilted,1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,17,17_Rh2Ti2_OCHCH3,*OCHCH3,Rh2Ti2,mp-2583,"(1,1,1)",0.083,True,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",31,31,-427.9207763671875,-4.476116180419922,config_25,31,1,4862,3278,1584,5,0.0,bridge,Ti;Rh,O;C(α),tilted O+C bidentate,1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,18,18_Al3Zr_OCHCH3,*OCHCH3,Al3Zr,mp-1065309,"(1,0,1)",0.375,True,skipped,no_traj_files,0,0,,,,,,,,,,,,,,,
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,19,19_Hf2Zn6_OCHCH3,*OCHCH3,Hf2Zn6,mp-866108,"(1,1,0)",0.12,True,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",18,18,-259.61248779296875,-4.707073211669922,config_13,18,1,4490,3158,1332,5,0.0,bridge,Hf;Zn,O;C_unsat,tilted side-on O+C,1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,20,20_Bi2Ti6_ONNCH32,*ONN(CH3)2,Bi2Ti6,mp-866201,"(2,1,1)",0.0,True,success,"{""desorbed"": 0, ""dissociated"": 3, ""read_error"": 0, ""surface_changed"": 0}",16,13,-491.93609619140625,-12.284919738769531,config_9,16,3,9566,7172,2394,11,0.0,bridge,Ti;Bi,O;N,"tilted O,N-bიდენტate",1.1500000000000001
