case_id,backend,surface_family,success,best_energy,iterations,slip_count,dissociation_count,failure_class,error
019,claude,intermetallic,True,-3.493175506591797,1,0,0,,
020,claude,intermetallic,True,-2.7164840698242188,1,1,0,,
021,claude,intermetallic,True,-4.241508483886719,1,1,0,,
022,claude,intermetallic,True,-6.488563537597656,1,1,0,,
023,claude,intermetallic,True,-4.346961975097656,1,1,0,,
024,claude,intermetallic,True,-3.1458511352539062,1,1,0,,
025,claude,intermetallic,False,,1,1,1,natural_dissociation_or_reaction,
026,claude,intermetallic,True,-19.317611694335938,1,0,0,,
027,claude,compound,True,-7.707033157348633,1,1,0,,
028,claude,intermetallic,True,-7.268787384033203,1,1,0,,
029,claude,intermetallic,True,-2.729450225830078,1,1,0,,
030,claude,compound,True,-4.276355743408203,1,0,0,,
031,claude,intermetallic,True,-7.339723587036133,1,1,0,,
032,claude,compound,True,-1.094757080078125,1,0,0,,
033,claude,intermetallic,True,-2.7376708984375,1,1,0,,
034,claude,intermetallic,True,-3.4162750244140625,1,0,0,,
035,claude,compound,True,-4.418554306030273,1,0,0,,
036,claude,intermetallic,True,-0.16718101501464844,1,0,0,,
037,claude,intermetallic,True,-9.077842712402344,1,0,0,,
038,claude,intermetallic,True,-3.2947616577148438,1,1,0,,
039,claude,compound,True,-7.24180793762207,1,0,0,,
040,claude,compound,True,-5.74797248840332,1,1,0,,
041,claude,intermetallic,True,-2.72772216796875,1,1,0,,
042,claude,intermetallic,True,-1.8311767578125,1,1,0,,
043,claude,monometallic,False,,1,1,1,natural_dissociation_or_reaction,
044,claude,intermetallic,True,-5.087867736816406,1,0,0,,
045,claude,intermetallic,True,-2.8482284545898438,1,0,0,,
046,claude,compound,True,-7.671304702758789,1,0,0,,
047,claude,compound,True,-10.415063858032227,1,0,0,,
048,claude,intermetallic,True,-2.8683414459228516,1,1,0,,
049,claude,compound,True,-7.621452331542969,1,1,0,,
050,claude,compound,True,-11.695274353027344,1,0,0,,
001,gemini,intermetallic,True,-4.743199110031128,1,1,0,,
002,gemini,intermetallic,True,-3.5041396617889404,1,1,0,,
003,gemini,intermetallic,True,-3.134526014328003,1,1,0,,
004,gemini,intermetallic,False,,1,1,1,natural_dissociation_or_reaction,
005,gemini,intermetallic,True,-6.2310638427734375,1,1,0,,
006,gemini,intermetallic,True,-3.9895553588867188,1,1,0,,
007,gemini,intermetallic,True,-6.983524322509766,1,1,0,,
008,gemini,intermetallic,False,,1,1,1,natural_dissociation_or_reaction,
009,gemini,intermetallic,True,-3.9963321685791016,1,1,0,,
010,gemini,intermetallic,True,-9.262384414672852,1,0,0,,
011,gemini,intermetallic,True,-3.282930374145508,1,1,0,,
012,gemini,intermetallic,True,-9.34560775756836,1,1,0,,
013,gemini,intermetallic,True,-2.735858917236328,1,1,0,,
014,gemini,intermetallic,True,-6.870906829833984,1,1,0,,
015,gemini,intermetallic,True,-9.957316398620605,1,1,0,,
016,gemini,intermetallic,True,-14.256022453308105,1,1,0,,
017,gemini,intermetallic,True,-7.173670768737793,1,0,0,,
018,gemini,intermetallic,True,-2.125509262084961,1,1,0,,
019,gemini,intermetallic,True,-3.479421615600586,1,1,0,,
020,gemini,intermetallic,True,-2.7164840698242188,1,1,0,,
021,gemini,intermetallic,True,-3.8590927124023438,1,1,0,,
022,gemini,intermetallic,True,-6.136024475097656,1,1,0,,
023,gemini,intermetallic,True,-4.346961975097656,1,1,0,,
024,gemini,intermetallic,True,-3.1459884643554688,1,1,0,,
025,gemini,intermetallic,False,,1,1,1,natural_dissociation_or_reaction,
026,gemini,intermetallic,True,-19.717330932617188,1,0,0,,
027,gemini,compound,True,-7.707094192504883,1,1,0,,
028,gemini,intermetallic,True,-7.790712356567383,1,1,0,,
029,gemini,intermetallic,True,-2.717609405517578,1,1,0,,
030,gemini,compound,True,-4.578388214111328,1,1,0,,
031,gemini,intermetallic,True,-7.339601516723633,1,1,0,,
032,gemini,compound,True,-1.094757080078125,1,0,0,,
033,gemini,intermetallic,True,-2.73760986328125,1,1,0,,
034,gemini,intermetallic,True,-3.4162750244140625,1,0,0,,
035,gemini,compound,True,-4.367143630981445,1,0,0,,
036,gemini,intermetallic,False,,1,0,1,natural_dissociation_or_reaction,
037,gemini,intermetallic,True,-9.077598571777344,1,0,0,,
038,gemini,intermetallic,False,,1,1,1,natural_dissociation_or_reaction,
039,gemini,compound,True,-7.24180793762207,1,0,0,,
040,gemini,compound,True,-5.74797248840332,1,1,0,,
041,gemini,intermetallic,False,,1,1,1,natural_dissociation_or_reaction,
042,gemini,intermetallic,True,-1.85589599609375,1,1,0,,
043,gemini,monometallic,False,,1,1,1,natural_dissociation_or_reaction,
044,gemini,intermetallic,True,-4.688911437988281,1,1,0,,
045,gemini,intermetallic,True,-2.8482284545898438,1,0,0,,
046,gemini,compound,True,-7.671304702758789,1,0,0,,
047,gemini,compound,True,-10.415063858032227,1,0,0,,
048,gemini,intermetallic,True,-2.9037342071533203,1,1,0,,
049,gemini,compound,True,-7.621452331542969,1,1,0,,
050,gemini,compound,True,-11.582328796386719,1,1,0,,
