baseline,backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,max_config_budget,random_ratio,case_id,config_name,ads_smiles,bulk_symbol,bulk_id,miller,shift,top,status,skip_reason,traj_count,valid_traj_count,best_total_energy,best_adsorption_energy_eV,best_config,adsorbagent_configs_tested,critic_loop_count,llm_token_count,llm_prompt_tokens,llm_completion_tokens,llm_successful_requests,llm_total_cost_usd,site_type,site_atoms,ads_bind_atoms,orient,cutoff_multiplier
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,011,011_Se48Sn48_CO,CO,Se48Sn48,105,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-425.8294677734375,-4.302986145019531,config_0,1,1,4188,2995,1193,5,0.0,ontop,Sn,C,"end-on, nearly linear C-down",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,012,012_Ru60Ta20__NH,[NH],Ru60Ta20,108,,,,skipped,no_traj_files,0,0,,,,0,1,4501,3135,1366,5,0.0,bridge,Ru;Ta,N,end-on,1.3500000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,013,013_Ag24In12Sc12_CO,CO,Ag24In12Sc12,114,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-210.82403564453125,-2.6694259643554688,config_0,1,1,4628,3181,1447,5,0.0,ontop,Sc,C,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,014,014_Ge36V60__N_N,[N]=N,Ge36V60,118,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-728.8826904296875,-11.003385543823242,config_1,2,1,5003,3338,1665,5,0.0,bridge,V;V,N;N,side-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,015,015_Ge16Mn48_C_O_C,C(=O)C,Ge16Mn48,130,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-541.7344970703125,-1.1011810302734375,config_1,2,1,4496,3111,1385,5,0.0,bridge,Mn;Mn,O,"end-on, slightly tilted",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,016,016_Cu32Se64W16_C_C_O,C(C)O,Cu32Se64W16,181,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 1}",2,1,-608.8439331054688,-9.506732940673828,config_0,2,1,5035,3373,1662,5,0.0,ontop,W,O,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,017,017_Pb24Y8__N_O,[N]=O,Pb24Y8,183,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-157.09922790527344,-2.6390161514282227,config_1,2,1,4225,3002,1223,5,0.0,bridge,Y;Pb,N,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,018,018_Si8Ta16V24__N_N,[N]=N,Si8Ta16V24,192,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-462.2728576660156,-5.671445846557617,config_0,1,1,4915,3347,1568,5,0.0,bridge,Ta;V,N;N,side-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,019,019_Ag96Ga32__CH2_O,[CH2][O],Ag96Ga32,196,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-377.2314453125,-2.475515365600586,config_0,1,1,4812,3302,1510,5,0.0,bridge,Ga;Ag,O,end-on tilted,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,020,020_Cr36N48__CH_O,[CH]=O,Cr36N48,201,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-769.9717407226562,-7.223566055297852,config_0,1,2,7506,5464,2042,8,0.0,bridge,Cr;Cr,C;O,tilted end-on,1.2000000000000002
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,021,021_Al20Au20Y20__NH2,[NH2],Al20Au20Y20,208,,,,skipped,no_traj_files,0,0,,,,0,1,4756,3291,1465,5,0.0,bridge,Y;Al,N,tilted end-on,1.3500000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,022,022_Fe20Mn20P20__NH2,[NH2],Fe20Mn20P20,242,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-495.036376953125,-2.5753021240234375,config_0,1,1,4441,3105,1336,5,0.0,bridge,Fe;Mn,N,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,023,023_Ag60Ga20_C_O_C,C(=O)C,Ag60Ga20,252,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-252.24095153808594,-3.3375244140625,config_0,1,1,4349,3083,1266,5,0.0,bridge,Ga;Ag,O;carbonyl C,tilted side-on,1.2000000000000002
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,024,024_Cd20Y20_C_O,C[O],Cd20Y20,275,,,,skipped,no_traj_files,0,0,,,,0,1,4635,3172,1463,5,0.0,bridge,Y;Y,O,end-on,1.3500000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,025,025_Ga36Mn36_N,N,Ga36Mn36,294,,,,success,"{""desorbed"": 1, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,1,-440.9871520996094,-2.8572769165039062,config_1,2,1,4430,3074,1356,5,0.0,hollow,Mn;Mn;Ga,N,upright into hollow pocket,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,026,026_As40Ti40_C_O,C[O],As40Ti40,335,,,,skipped,no_traj_files,0,0,,,,0,1,4674,3171,1503,5,0.0,bridge,Ti;Ti,O,end-on,1.3500000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,027,027_Se72Ta36_N,N,Se72Ta36,338,,,,skipped,no_traj_files,0,0,,,,0,2,6792,5080,1712,8,0.0,hollow,Ta;Ta;Ta,N,threefold nested,1.3500000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,028,028_Ca24Pb24Pd24__CH2_O,[CH2][O],Ca24Pb24Pd24,351,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-311.8893737792969,-2.648397445678711,config_0,1,1,5330,3489,1841,5,0.0,bridge,Ca;Pd,O;C,"tilted O-down, C-near-surface",1.3000000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,029,029_In18N18Ti36_O_N,O=N,In18N18Ti36,362,,,,failed,"{""desorbed"": 0, ""dissociated"": 1, ""read_error"": 0, ""surface_changed"": 0}",1,0,,,,1,1,4597,3209,1388,5,0.0,ontop,Ti,N,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,030,030_Cd16Pd48_C_CH2_O,C([CH2])O,Cd16Pd48,384,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-304.8216857910156,-2.228649139404297,config_0,2,1,4984,3301,1683,5,0.0,bridge,Pd;Pd,C;O,"tilted C,O-bidentate",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,031,031_Ca16Pb16Pd16_OH,[OH],Ca16Pb16Pd16,439,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-201.85008239746094,-4.627389907836914,config_0,1,1,4532,3111,1421,5,0.0,bridge,Pd;Ca,O,end-on,1.2000000000000002
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,032,032_Ni6Sc36Te12_OH,[OH],Ni6Sc36Te12,479,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-336.3673400878906,-6.844629287719727,config_0,1,1,4559,3185,1374,5,0.0,bridge,Sc;Ni,O,end-on tilted,1.2000000000000002
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,033,033_Ca24Zn48__NH2,[NH2],Ca24Zn48,491,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-131.3497314453125,-4.061759948730469,config_0,1,1,4220,3011,1209,5,0.0,bridge,Ca;Ca,N,end-on N-down,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,034,034_Hf40Sb24Zn8__CH2_C,[CH2]C,Hf40Sb24Zn8,502,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-558.323974609375,-6.309864044189453,config_0,1,1,5203,3443,1760,5,0.0,bridge,Hf;Hf,C;C,side-on,1.2000000000000002
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,035,035_Pd24Zr24_OH,[OH],Pd24Zr24,513,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-348.47564697265625,-5.995965957641602,config_1,2,1,4647,3197,1450,5,0.0,bridge,Zr;Pd,O,"O-down, slightly tilted end-on",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,036,036_Co32Y48__NH,[NH],Co32Y48,530,,,,skipped,no_traj_files,0,0,,,,0,1,4437,3083,1354,5,0.0,ontop,Co,N,end-on,1.3500000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,037,037_Pd144Si32_C_O,C[O],Pd144Si32,547,,,,success,"{""desorbed"": 0, ""dissociated"": 1, ""read_error"": 0, ""surface_changed"": 0}",2,1,-984.5753784179688,-5.791316986083984,config_0,2,1,5071,3386,1685,5,0.0,bridge,Pd;Pd,O,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,038,038_Bi16Pd48_C_C_O,C(C)O,Bi16Pd48,552,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",4,4,-349.88958740234375,-2.6963729858398438,config_0,4,1,4963,3331,1632,5,0.0,ontop,Pd,O,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,039,039_Fe16Si24Zr24__CH3,[CH3],Fe16Si24Zr24,573,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-498.0145568847656,-4.490787506103516,config_0,1,1,4367,3069,1298,5,0.0,ontop,Zr,C,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,040,040_Sb20Ta60__N_N,[N]=N,Sb20Ta60,591,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-779.941650390625,-9.569913864135742,config_0,2,1,4351,3038,1313,5,0.0,bridge,Ta;Ta,N;N,side-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,041,041_Cr18Pt18_H,[H],Cr18Pt18,596,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-274.2008056640625,-4.717838525772095,config_0,1,1,4092,2925,1167,5,0.0,bridge,Cr;Pt,H,not applicable for atomic adsorbate; H occupies a two-fold bridge position,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,042,042_Na8Pb24__NH2,[NH2],Na8Pb24,614,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-114.74656677246094,-2.3773040771484375,config_0,1,1,4810,3283,1527,5,0.0,ontop,Na,N,"end-on N-down, slightly tilted",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,043,043_Co32Y96__CH_O,[CH]=O,Co32Y96,627,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-856.91650390625,-7.112054824829102,config_0,1,1,4586,3185,1401,5,0.0,bridge,Y;Co,O;C,side-on,1.3500000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,044,044_Al36Zr12_C_O_C,C(=O)C,Al36Zr12,632,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",3,3,-276.88043212890625,-3.1512603759765625,config_1,3,1,4762,3248,1514,5,0.0,bridge,Zr;Al,O,end-on tilted O-down,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,045,045_Ga16Mn32V16__CH2_O,[CH2][O],Ga16Mn32V16,665,,,,skipped,no_traj_files,0,0,,,,0,1,5189,3474,1715,5,0.0,bridge,V;Mn,O;C,tilted side-on,1.3500000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,046,046_Au36Ga36__N_O,[N]=O,Au36Ga36,677,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",3,3,-238.38491821289062,-2.5997848510742188,config_1,3,1,4445,3121,1324,5,0.0,ontop,Ga,N,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,047,047_Au24Si24Sr12_N,N,Au24Si24Sr12,716,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-265.09954833984375,-1.282144546508789,config_0,1,3,9427,7259,2168,11,0.0,bridge,Sr;Si,N,bridging end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,048,048_Re27Ti27__NH2,[NH2],Re27Ti27,735,,,,failed,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 1}",1,0,,,,1,1,4705,3261,1444,5,0.0,bridge,Ti;Re,N,"end-on, N-down, slightly tilted",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,049,049_As24V36__CH2_C,[CH2]C,As24V36,747,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-477.2029113769531,-6.780902862548828,config_0,1,1,4829,3263,1566,5,0.0,bridge,V;V,C;C,side-on,1.2500000000000002
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,050,050_Ga24Y24_H,[H],Ga24Y24,768,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-249.85415649414062,-3.2478067874908447,config_0,1,2,6328,4840,1488,8,0.0,bridge,Y;Y,H,bridging (orientation effectively non-directional for atomic H),1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,051,051_Na12Pb36_H,[H],Na12Pb36,775,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-152.8169403076172,-3.0384562015533447,config_0,1,1,4296,2967,1329,5,0.0,bridge,Na;Pb,H,end-on,1.2000000000000002
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,052,052_Co12Sb12Ti12_CO,CO,Co12Sb12Ti12,778,,,,failed,"{""desorbed"": 1, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,0,,,,1,1,4715,3233,1482,5,0.0,ontop,Co,C,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,053,053_K20_C_CH2_O,C([CH2])O,K20,780,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 1}",3,2,-64.44248962402344,-2.4866390228271484,config_1,3,1,4458,3120,1338,5,0.0,hollow,K;K;K,O;C(CH2-bearing carbon),"O-down tilted, weakly side-on/multიდენტate",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,054,054_Ni38Se40__CH2_C,[CH2]C,Ni38Se40,794,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-399.48358154296875,-11.512565612792969,config_0,1,2,7417,5497,1920,8,0.0,bridge,Ni,terminal methylene carbon,tilted side-on / di-σ through the reactive carbon toward a Ni–Ni pair,1.2000000000000002
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,055,055_Co48Hf16__CH_O,[CH]=O,Co48Hf16,800,,,,skipped,no_traj_files,0,0,,,,0,2,7289,5393,1896,8,0.0,bridge,Co;Hf,C;O,"tilted μ2-(C,O) / end-on to each atom",1.3500000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,056,056_Pd32Sb64_C_CH2_O,C([CH2])O,Pd32Sb64,810,,,,skipped,no_traj_files,0,0,,,,0,1,5069,3388,1681,5,0.0,bridge,Pd;Pd,unsaturated carbon;oxygen,tilted bidentate,1.3500000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,057,057_Os32S64__CH3,[CH3],Os32S64,834,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-654.4410400390625,-10.41293716430664,config_1,2,1,4642,3128,1514,5,0.0,ontop,Os,C,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,058,058_Tl24Y8__CH3,[CH3],Tl24Y8,857,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-127.55482482910156,-2.887523651123047,config_0,1,1,4336,3099,1237,5,0.0,ontop,Y,C,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,059,059_Cu48Ga16_C_CH2_O,C([CH2])O,Cu48Ga16,869,,,,success,"{""desorbed"": 0, ""dissociated"": 1, ""read_error"": 0, ""surface_changed"": 0}",4,3,-275.3709716796875,-2.21954345703125,config_2,4,1,4980,3313,1667,5,0.0,bridge,Ga;Cu,O;C(radical/unsaturated carbon),"tilted dual-anchor, O-end-on to Ga and adjacent carbon leaning toward Cu",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,060,060_S36Sn24__CH3,[CH3],S36Sn24,876,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-277.9476013183594,-7.694019317626953,config_0,2,1,4368,3032,1336,5,0.0,ontop,Sn,C,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,061,061_Mo36N36__N_O,[N]=O,Mo36N36,909,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-698.1351928710938,-10.166726112365723,config_1,2,1,4450,3057,1393,5,0.0,ontop,Mo,N,end-on,1.3500000000000003
