case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used,source
021,no_termination,-3.6048831939697266,0.0,5,0,0.0,True,3,0,27508,extra14
021,single_shot,-3.4414615631103516,0.163421630859375,1,0,0.0,True,1,0,4595,extra14
022,full,-3.3456077575683594,0.0,5,0,0.0,True,5,2,32307,extra14
022,no_slip,-3.3845176696777344,-0.038909912109375,5,0,0.0,True,5,2,30435,extra14
022,no_forbid,-3.345600128173828,7.62939453125e-06,5,0,0.0,True,5,2,31663,extra14
022,no_termination,-3.3456077575683594,0.0,5,0,0.0,True,5,2,30371,extra14
022,single_shot,,,1,0,0.0,False,1,1,4735,extra14
023,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,30664,locked10
023,no_slip,-14.549540519714355,0.0,5,0,0.0,True,5,0,27123,locked10
023,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,30038,locked10
023,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,29392,locked10
023,single_shot,-14.256022453308105,0.29351806640625,1,0,0.0,True,1,0,5142,locked10
024,full,-3.715871810913086,0.0,5,0,0.0,True,3,1,27419,locked10
024,no_slip,-3.715871810913086,0.0,5,0,0.0,True,2,0,26347,locked10
024,no_forbid,-3.715871810913086,0.0,4,0,0.0,True,2,0,27771,locked10
024,no_termination,-3.715871810913086,0.0,5,0,0.0,True,3,1,26388,locked10
024,single_shot,-3.376506805419922,0.33936500549316406,1,0,0.0,True,0,0,4480,locked10
