case_id,variant,source,success,best_energy,delta_vs_full,iterations,dissociation_count,slip_count
017,no_slip,extra14,True,-5.363460540771484,-0.0008563995361328125,5,1,4
017,no_forbid,extra14,True,-5.363460540771484,-0.0008563995361328125,5,1,4
017,no_termination,extra14,True,-5.362604141235352,0.0,5,1,3
017,single_shot,extra14,False,,,1,1,0
018,full,extra14,True,-6.991722106933594,0.0,5,3,4
018,no_slip,extra14,True,-6.991722106933594,0.0,5,2,4
018,no_forbid,extra14,True,-6.991722106933594,0.0,5,2,4
018,no_termination,extra14,True,-6.991722106933594,0.0,5,2,3
018,single_shot,extra14,True,-6.991722106933594,0.0,1,0,1
019,full,locked10,True,-3.5041396617889404,0.0,5,0,4
019,no_slip,locked10,True,-3.3380630016326904,0.16607666015625,2,0,2
019,no_forbid,locked10,True,-3.5041396617889404,0.0,5,0,4
019,no_termination,locked10,True,-3.5041396617889404,0.0,5,0,4
019,single_shot,locked10,True,-3.5041396617889404,0.0,1,0,1
020,full,extra14,True,-6.2419586181640625,0.0,5,0,4
020,no_slip,extra14,True,-6.2310943603515625,0.0108642578125,3,0,2
020,no_forbid,extra14,True,-6.176261901855469,0.06569671630859375,3,0,2
020,no_termination,extra14,True,-6.2310943603515625,0.0108642578125,5,0,4
020,single_shot,extra14,True,-6.176261901855469,0.06569671630859375,1,0,1
021,full,extra14,True,-3.6048831939697266,0.0,5,0,3
021,no_slip,extra14,True,-3.5104408264160156,0.09444236755371094,5,0,4
021,no_forbid,extra14,True,-3.5104408264160156,0.09444236755371094,5,0,4
021,no_termination,extra14,True,-3.6048831939697266,0.0,5,0,3
021,single_shot,extra14,True,-3.4414615631103516,0.163421630859375,1,0,1
022,full,extra14,True,-3.3456077575683594,0.0,5,2,5
022,no_slip,extra14,True,-3.3845176696777344,-0.038909912109375,5,2,5
022,no_forbid,extra14,True,-3.345600128173828,7.62939453125e-06,5,2,5
022,no_termination,extra14,True,-3.3456077575683594,0.0,5,2,5
022,single_shot,extra14,False,,,1,1,1
023,full,locked10,True,-14.549540519714355,0.0,5,0,5
023,no_slip,locked10,True,-14.549540519714355,0.0,5,0,5
023,no_forbid,locked10,True,-14.549540519714355,0.0,5,0,5
023,no_termination,locked10,True,-14.549540519714355,0.0,5,0,5
023,single_shot,locked10,True,-14.256022453308105,0.29351806640625,1,0,1
024,full,locked10,True,-3.715871810913086,0.0,5,1,3
024,no_slip,locked10,True,-3.715871810913086,0.0,5,0,2
024,no_forbid,locked10,True,-3.715871810913086,0.0,4,0,2
024,no_termination,locked10,True,-3.715871810913086,0.0,5,1,3
024,single_shot,locked10,True,-3.376506805419922,0.33936500549316406,1,0,0
