dataset,case_id,surface,adsorbate,reaction_class,selection_bucket,selected_for_panel_b,backend,variant,checkpoint,best_energy_eV,source_result_dir,source_xyz,png_path
CMU20,11,Pd_111,OH,ORR,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-2.3813095092773438,research/results/cmu_extra5_openai_gpt54_ablation_v1/full/11,research/results/cmu_extra5_openai_gpt54_ablation_v1/full/11/artifacts/BEST_OH_ontop_to_hollow_FCC-No-Subsurf_E-2.381.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/11_Pd_111_OH.png
CMU20,12,Au_111,OH,ORR,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-2.0813217163085938,research/results/openai_gpt54_ablation_v1/full/12,research/results/openai_gpt54_ablation_v1/full/12/artifacts/BEST_OH_ontop_to_hollow_FCC-No-Subsurf_E-2.081.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/12_Au_111_OH.png
CMU20,13,Ag_100,OH,ORR,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-2.8251419067382812,research/results/openai_gpt54_ablation_v1/full/13,research/results/openai_gpt54_ablation_v1/full/13/artifacts/BEST_OH_hollow_to_hollow_HCP-Subsurf-Atom_E-2.825.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/13_Ag_100_OH.png
CMU20,14,CoPt_111,OH,ORR,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-3.5911407470703125,research/results/openai_gpt54_ablation_v1/full/14,research/results/openai_gpt54_ablation_v1/full/14/artifacts/BEST_OH_bridge_to_ontop_E-3.591.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/14_CoPt_111_OH.png
CMU20,15,Cu6Ga2_100,CH2CH2OH,COMPLEX,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-3.257709503173828,research/results/openai_gpt54_ablation_v1/full/15,research/results/openai_gpt54_ablation_v1/full/15/artifacts/BEST_CH2CO_hollow_to_bridge_E-3.258.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/15_Cu6Ga2_100_CH2CH2OH.png
CMU20,16,Au2Hf_102,CH2CH2OH,COMPLEX,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-4.272052764892578,research/results/openai_gpt54_ablation_v1/full/16,research/results/openai_gpt54_ablation_v1/full/16/artifacts/BEST_CH2CO_bridge_to_hollow_FCC-No-Subsurf_E-4.272.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/16_Au2Hf_102_CH2CH2OH.png
CMU20,17,Rh2Ti2_111,OCHCH3,COMPLEX,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-3.241016387939453,research/results/openai_gpt54_ablation_v1/full/17,research/results/openai_gpt54_ablation_v1/full/17/artifacts/BEST_CC_O_hollow_to_ontop_E-3.241.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/17_Rh2Ti2_111_OCHCH3.png
CMU20,18,Al3Zr_101,OCHCH3,COMPLEX,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-2.7240142822265625,research/results/openai_gpt54_ablation_v1/full/18,research/results/openai_gpt54_ablation_v1/full/18/artifacts/BEST_CC_O_ontop_to_bridge_E-2.724.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/18_Al3Zr_101_OCHCH3.png
CMU20,19,Hf2Zn6_110,OCHCH3,COMPLEX,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-4.0125274658203125,research/results/openai_gpt54_ablation_v1/full/19,research/results/openai_gpt54_ablation_v1/full/19/artifacts/BEST_CC_O_ontop_to_hollow_HCP-Subsurf-Atom_E-4.013.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/19_Hf2Zn6_110_OCHCH3.png
CMU20,20,Bi2Ti6_211,ONN(CH3)2,COMPLEX,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-11.652278900146484,research/results/openai_gpt54_ablation_v1/full/20,research/results/openai_gpt54_ablation_v1/full/20/artifacts/BEST_CN(C)N_O_ontop_to_hollow_FCC-No-Subsurf_E-11.652.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/20_Bi2Ti6_211_ONN_CH3_2.png
OCD-GMAE rep50,001,Cr18Pt18,H,HER,cmu_exact,False,GPT-5.4,Full,MACE-MP-0 small,-4.743168592453003,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/001,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/001/artifacts/BEST_H_hollow_to_bridge_E-4.743.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/001_Cr18Pt18_H.png
OCD-GMAE rep50,002,Ga24Y24,H,HER,cmu_exact,False,GPT-5.4,Full,MACE-MP-0 small,-3.5041396617889404,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/002,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/002/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-3.504.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/002_Ga24Y24_H.png
OCD-GMAE rep50,003,Na12Pb36,H,HER,cmu_exact,False,GPT-5.4,Full,MACE-MP-0 small,-3.134526014328003,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/003,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/003/artifacts/BEST_H_hollow_to_hollow_HCP-Subsurf-Atom_E-3.135.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/003_Na12Pb36_H.png
OCD-GMAE rep50,004,Ni6Sc36Te12,OH,ORR,cmu_exact,False,GPT-5.4,Full,MACE-MP-0 small,-7.2280120849609375,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/004,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/004/artifacts/BEST_OH_hollow_to_bridge_E-7.228.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/004_Ni6Sc36Te12_OH.png
OCD-GMAE rep50,005,Pd24Zr24,OH,ORR,cmu_exact,False,GPT-5.4,Full,MACE-MP-0 small,-6.176261901855469,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/005,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/005/artifacts/BEST_OH_ontop_to_hollow_HCP-Subsurf-Atom_E-6.176.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/005_Pd24Zr24_OH.png
OCD-GMAE rep50,006,Ca16Pb16Pd16,OH,ORR,cmu_exact,False,GPT-5.4,Full,MACE-MP-0 small,-5.4748687744140625,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/006,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/006/artifacts/BEST_OH_bridge_to_hollow_FCC-No-Subsurf_E-5.475.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/006_Ca16Pb16Pd16_OH.png
OCD-GMAE rep50,007,Re27Ti27,[NH2],GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-11.658075332641602,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/007,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/007/artifacts/BEST_NH2_ontop_to_hollow_FCC-No-Subsurf_E-11.658.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/007_Re27Ti27__NH2_.png
OCD-GMAE selected,007,Re27Ti27,[NH2],GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-11.658075332641602,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/007,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/007/artifacts/BEST_NH2_ontop_to_hollow_FCC-No-Subsurf_E-11.658.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_selected/007_Re27Ti27__NH2_.png
OCD-GMAE rep50,008,Ca24Zn48,[NH2],GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-4.546131134033203,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/008,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/008/artifacts/BEST_NH2_bridge_E-4.546.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/008_Ca24Zn48__NH2_.png
OCD-GMAE selected,008,Ca24Zn48,[NH2],GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-4.546131134033203,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/008,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/008/artifacts/BEST_NH2_bridge_E-4.546.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_selected/008_Ca24Zn48__NH2_.png
OCD-GMAE rep50,009,Al20Au20Y20,[NH2],GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-4.700778961181641,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/009,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/009/artifacts/BEST_NH2_hollow_to_bridge_E-4.701.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/009_Al20Au20Y20__NH2_.png
OCD-GMAE selected,009,Al20Au20Y20,[NH2],GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-4.700778961181641,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/009,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/009/artifacts/BEST_NH2_hollow_to_bridge_E-4.701.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_selected/009_Al20Au20Y20__NH2_.png
OCD-GMAE rep50,010,As48Hf48Ni48,[NH2],GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-10.075138092041016,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/010,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/010/artifacts/BEST_NH2_hollow_to_bridge_E-10.075.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/010_As48Hf48Ni48__NH2_.png
OCD-GMAE selected,010,As48Hf48Ni48,[NH2],GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-10.075138092041016,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/010,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/010/artifacts/BEST_NH2_hollow_to_bridge_E-10.075.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_selected/010_As48Hf48Ni48__NH2_.png
OCD-GMAE rep50,011,Na8Pb24,[NH2],GENERALIZATION,small_n_species,False,GPT-5.4,Full,MACE-MP-0 small,-3.283937454223633,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/011,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/011/artifacts/BEST_NH2_ontop_to_bridge_E-3.284.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/011_Na8Pb24__NH2_.png
OCD-GMAE rep50,012,Sb20Ta60,[N]=N,GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-9.668575286865234,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/012,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/012/artifacts/BEST_N_N_bridge_to_hollow_HCP-Subsurf-Atom_E-9.669.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/012_Sb20Ta60__N_=N.png
OCD-GMAE selected,012,Sb20Ta60,[N]=N,GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-9.668575286865234,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/012,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/012/artifacts/BEST_N_N_bridge_to_hollow_HCP-Subsurf-Atom_E-9.669.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_selected/012_Sb20Ta60__N_=N.png
OCD-GMAE rep50,013,Ag18Sr27,[N]=N,GENERALIZATION,small_n_species,False,GPT-5.4,Full,MACE-MP-0 small,-3.3845252990722656,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/013,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/013/artifacts/BEST_N_N_bridge_to_hollow_FCC-No-Subsurf_E-3.385.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/013_Ag18Sr27__N_=N.png
OCD-GMAE rep50,014,Si8Ta16V24,[N]=N,GENERALIZATION,small_n_species,False,GPT-5.4,Full,MACE-MP-0 small,-7.854701995849609,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/014,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/014/artifacts/BEST_N_N_bridge_to_hollow_HCP-Subsurf-Atom_E-7.855.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/014_Si8Ta16V24__N_=N.png
OCD-GMAE rep50,015,Co32Y48,[NH],GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-10.643351554870605,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/015,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/015/artifacts/BEST_NH_bridge_to_hollow_FCC-No-Subsurf_E-10.643.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/015_Co32Y48__NH_.png
OCD-GMAE selected,015,Co32Y48,[NH],GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-10.643351554870605,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/015,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/015/artifacts/BEST_NH_bridge_to_hollow_FCC-No-Subsurf_E-10.643.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_selected/015_Co32Y48__NH_.png
OCD-GMAE rep50,016,Ru60Ta20,[NH],GENERALIZATION,small_n_species,False,GPT-5.4,Full,MACE-MP-0 small,-14.549540519714355,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/016,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/016/artifacts/BEST_NH_hollow_to_hollow_FCC-No-Subsurf_E-14.550.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/016_Ru60Ta20__NH_.png
OCD-GMAE rep50,017,Ga12Pd36,[NH],GENERALIZATION,small_n_species,False,GPT-5.4,Full,MACE-MP-0 small,-7.4804487228393555,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/017,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/017/artifacts/BEST_NH_hollow_to_hollow_FCC-No-Subsurf_E-7.480.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/017_Ga12Pd36__NH_.png
OCD-GMAE rep50,018,Au24Si24Sr12,N,GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-2.113170623779297,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/018,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/018/artifacts/BEST_N_ontop_E-2.113.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/018_Au24Si24Sr12_N.png
OCD-GMAE selected,018,Au24Si24Sr12,N,GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-2.113170623779297,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/018,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/018/artifacts/BEST_N_ontop_E-2.113.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_selected/018_Au24Si24Sr12_N.png
OCD-GMAE rep50,019,Ga36Mn36,N,GENERALIZATION,small_n_species,False,GPT-5.4,Full,MACE-MP-0 small,-3.493144989013672,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/019,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/019/artifacts/BEST_N_ontop_E-3.493.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/019_Ga36Mn36_N.png
OCD-GMAE rep50,020,Pb24Y8,[N]=O,GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-2.7164840698242188,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/020,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/020/artifacts/BEST_N_O_ontop_to_hollow_FCC-No-Subsurf_E-2.716.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/020_Pb24Y8__N_=O.png
OCD-GMAE selected,020,Pb24Y8,[N]=O,GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-2.7164840698242188,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/020,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/020/artifacts/BEST_N_O_ontop_to_hollow_FCC-No-Subsurf_E-2.716.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_selected/020_Pb24Y8__N_=O.png
OCD-GMAE rep50,021,Au36Ga36,[N]=O,GENERALIZATION,small_n_species,False,GPT-5.4,Full,MACE-MP-0 small,-4.417228698730469,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/021,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/021/artifacts/BEST_N_O_hollow_to_bridge_E-4.417.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/021_Au36Ga36__N_=O.png
OCD-GMAE rep50,022,Pt16V48,[N]=O,GENERALIZATION,small_n_species,False,GPT-5.4,Full,MACE-MP-0 small,-7.176612854003906,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/022,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/022/artifacts/BEST_N_O_bridge_E-7.177.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/022_Pt16V48__N_=O.png
OCD-GMAE rep50,023,Hf18Sc18Si36,NO,GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-4.346961975097656,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/023,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/023/artifacts/BEST_NO_ontop_to_hollow_HCP-Subsurf-Atom_E-4.347.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/023_Hf18Sc18Si36_NO.png
OCD-GMAE selected,023,Hf18Sc18Si36,NO,GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-4.346961975097656,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/023,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/023/artifacts/BEST_NO_ontop_to_hollow_HCP-Subsurf-Atom_E-4.347.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_selected/023_Hf18Sc18Si36_NO.png
OCD-GMAE rep50,024,Cd24Pd24,NO,GENERALIZATION,small_n_species,False,GPT-5.4,Full,MACE-MP-0 small,-3.2887935638427734,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/024,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/024/artifacts/BEST_NO_hollow_to_bridge_E-3.289.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/024_Cd24Pd24_NO.png
OCD-GMAE rep50,025,In18N18Ti36,O=N,GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-7.9674224853515625,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/025,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/025/artifacts/BEST_O_N_bridge_E-7.967.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/025_In18N18Ti36_O=N.png
OCD-GMAE selected,025,In18N18Ti36,O=N,GENERALIZATION,small_n_species,True,GPT-5.4,Full,MACE-MP-0 small,-7.9674224853515625,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/025,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/025/artifacts/BEST_O_N_bridge_E-7.967.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_selected/025_In18N18Ti36_O=N.png
OCD-GMAE rep50,026,Mo18S72W18,O=N,GENERALIZATION,small_n_species,False,GPT-5.4,Full,MACE-MP-0 small,-19.716903686523438,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/026,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/026/artifacts/BEST_O_N_ontop_E-19.717.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/026_Mo18S72W18_O=N.png
OCD-GMAE rep50,027,Cr36N48,[CH]=O,GENERALIZATION,small_organic,True,GPT-5.4,Full,MACE-MP-0 small,-7.707094192504883,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/027,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/027/artifacts/BEST_CH_O_ontop_to_hollow_HCP-Subsurf-Atom_E-7.707.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/027_Cr36N48__CH_=O.png
OCD-GMAE selected,027,Cr36N48,[CH]=O,GENERALIZATION,small_organic,True,GPT-5.4,Full,MACE-MP-0 small,-7.707094192504883,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/027,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/027/artifacts/BEST_CH_O_ontop_to_hollow_HCP-Subsurf-Atom_E-7.707.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_selected/027_Cr36N48__CH_=O.png
OCD-GMAE rep50,028,Co32Y96,[CH]=O,GENERALIZATION,small_organic,False,GPT-5.4,Full,MACE-MP-0 small,-7.268848419189453,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/028,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/028/artifacts/BEST_CH_O_bridge_to_hollow_FCC-No-Subsurf_ISO_E-7.269.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/028_Co32Y96__CH_=O.png
OCD-GMAE rep50,029,Co48Hf16,[CH]=O,GENERALIZATION,small_organic,False,GPT-5.4,Full,MACE-MP-0 small,-2.721467971801758,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/029,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/029/artifacts/BEST_CH_O_ontop_to_hollow_HCP-Subsurf-Atom_E-2.721.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/029_Co48Hf16__CH_=O.png
OCD-GMAE rep50,030,Ge24Zr40,[CH]=O,GENERALIZATION,small_organic,False,GPT-5.4,Full,MACE-MP-0 small,-4.292024612426758,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/030,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/030/artifacts/BEST_CH_O_ontop_to_hollow_FCC-No-Subsurf_E-4.292.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/030_Ge24Zr40__CH_=O.png
OCD-GMAE rep50,031,Cr32Ir96,[CH]=O,GENERALIZATION,small_organic,False,GPT-5.4,Full,MACE-MP-0 small,-7.339723587036133,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/031,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/031/artifacts/BEST_CH_O_ontop_to_bridge_E-7.340.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/031_Cr32Ir96__CH_=O.png
OCD-GMAE rep50,032,Ge16Mn48,C(=O)C,GENERALIZATION,small_organic,True,GPT-5.4,Full,MACE-MP-0 small,-1.094757080078125,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/032,research/results/ocd_gmae_rep50_openai_gpt54_full_v1/full/032/artifacts/BEST_C(_O)C_ontop_to_hollow_inferred_E-1.095.xyz,research/results/analysis/panel_b_assets_20260429/ocd_rep50_all/032_Ge16Mn48_C_=O_C.png
