baseline,backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,max_config_budget,random_ratio,case_id,config_name,ads_smiles,bulk_symbol,bulk_id,miller,shift,top,status,skip_reason,traj_count,valid_traj_count,best_total_energy,best_adsorption_energy_eV,best_config,adsorbagent_configs_tested,critic_loop_count,llm_token_count,llm_prompt_tokens,llm_completion_tokens,llm_successful_requests,llm_total_cost_usd,site_type,site_atoms,ads_bind_atoms,orient,cutoff_multiplier
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,11,11_Pd_OH,[OH],Pd,,(111),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-279.5230712890625,-2.3963565826416016,config_0,2,1,4413,3057,1356,5,0.0,ontop,Pd,O,"end-on O-down, slightly tilted, with H pointing away from the surface",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,12,12_Au_OH,[OH],Au,,(111),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-91.21881866455078,-1.6133289337158203,config_0,2,1,4224,3003,1221,5,0.0,ontop,Au,O,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,13,13_Ag_OH,[OH],Ag,,(100),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-102.93827819824219,-2.4099369049072266,config_0,2,1,4157,2876,1281,5,0.0,ontop,Ag,O,"end-on, near-upright/slightly tilted",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,14,14_CoPt_OH,[OH],CoPt,,(111),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-448.12225341796875,-3.4744815826416016,config_0,2,1,4499,3101,1398,5,0.0,ontop,Co,O,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,15,15_Cu6Ga2_CH2CH2OH,[CH2]CO,Cu6Ga2,,(100),,,success,"{""desorbed"": 0, ""dissociated"": 1, ""read_error"": 0, ""surface_changed"": 0}",3,2,-275.08050537109375,-1.5233955383300781,config_0,3,1,4354,3081,1273,5,0.0,bridge,Cu;Cu,C;O,tilted side-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,16,16_Au2Hf_CH2CH2OH,[CH2]CO,Au2Hf,,(102),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-353.10333251953125,-3.282684326171875,config_0,1,1,5060,3398,1662,5,0.0,bridge,Hf;Au,O;C(radical),"tilted multidentate, primarily end-on via O toward Hf with secondary C contact to adjacent Au",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,17,17_Rh2Ti2_OCHCH3,CC=O,Rh2Ti2,,(111),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",4,4,-427.8912353515625,-3.1537322998046875,config_0,4,1,4831,3263,1568,5,0.0,bridge,Ti;Rh,O;carbonyl C,"side-on η2(C,O) across a mixed-metal Rh–Ti pair",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,18,18_Al3Zr_OCHCH3,CC=O,Al3Zr,,(101),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",3,3,-277.73919677734375,-2.9522857666015625,config_0,3,1,4595,3138,1457,5,0.0,bridge,Zr;Al,O;carbonyl C,"tilted η2(C,O)",1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,19,19_Hf2Zn6_OCHCH3,CC=O,Hf2Zn6,,(110),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-258.48126220703125,-3.0767059326171875,config_0,1,1,5315,3510,1805,5,0.0,ontop,Hf,O,end-on,1.3000000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,20,20_Bi2Ti6_ONN_CH3_2,CN(C)N=O,Bi2Ti6,,(211),,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-486.25909423828125,-5.4582366943359375,config_0,1,1,5012,3328,1684,5,0.0,bridge,Ti;Ti,O;N(nitroso),"tilted side-on / O,N-bidentate",1.1500000000000001
