case_id,variant,backend,source,best_energy,iterations,wasted_iterations,success,slip_count,dissociation_count,tokens_used,failure_class,raw_status,error
014,single_shot,Grok-4,original_extra14,,0,0,False,0,0,0,external_failure,error,"Error code: 429 - {'code': 'Some resource has been exhausted', 'error': 'Your team 6f345731-9dd2-4c52-bac5-3be64eb3a761 has either used all available credits or reached its monthly spending limit. To continue making API requests, please purchase more credits or raise your spending limit.'}"
017,single_shot,Grok-4,original_extra14,,0,0,False,0,0,0,external_failure,error,"Error code: 429 - {'code': 'Some resource has been exhausted', 'error': 'Your team 6f345731-9dd2-4c52-bac5-3be64eb3a761 has either used all available credits or reached its monthly spending limit. To continue making API requests, please purchase more credits or raise your spending limit.'}"
018,single_shot,Grok-4,original_extra14,,0,0,False,0,0,0,external_failure,error,"Error code: 429 - {'code': 'Some resource has been exhausted', 'error': 'Your team 6f345731-9dd2-4c52-bac5-3be64eb3a761 has either used all available credits or reached its monthly spending limit. To continue making API requests, please purchase more credits or raise your spending limit.'}"
020,single_shot,Grok-4,original_extra14,,0,0,False,0,0,0,external_failure,error,"Error code: 429 - {'code': 'Some resource has been exhausted', 'error': 'Your team 6f345731-9dd2-4c52-bac5-3be64eb3a761 has either used all available credits or reached its monthly spending limit. To continue making API requests, please purchase more credits or raise your spending limit.'}"
021,single_shot,Grok-4,original_extra14,,0,0,False,0,0,0,external_failure,error,"Error code: 429 - {'code': 'Some resource has been exhausted', 'error': 'Your team 6f345731-9dd2-4c52-bac5-3be64eb3a761 has either used all available credits or reached its monthly spending limit. To continue making API requests, please purchase more credits or raise your spending limit.'}"
022,single_shot,Grok-4,original_extra14,,0,0,False,0,0,0,external_failure,error,"Error code: 429 - {'code': 'Some resource has been exhausted', 'error': 'Your team 6f345731-9dd2-4c52-bac5-3be64eb3a761 has either used all available credits or reached its monthly spending limit. To continue making API requests, please purchase more credits or raise your spending limit.'}"
002,no_termination,Grok-4,recovery_a,-7.1137542724609375,5,0,True,4,2,50590,success,success,
006,no_termination,Grok-4,recovery_a,-7.403881072998047,5,0,True,3,1,50100,success,success,
007,no_termination,Grok-4,recovery_a,-10.710853576660156,5,0,True,2,0,53050,success,success,
008,no_termination,Grok-4,recovery_a,-4.346963882446289,5,0,True,4,3,51161,success,success,
009,no_termination,Grok-4,recovery_a,-7.9674224853515625,5,0,True,5,2,58607,success,success,
010,no_termination,Grok-4,recovery_a,-7.707094192504883,5,0,True,2,0,54569,success,success,
011,no_termination,Grok-4,recovery_a,-3.3565673828125,5,0,True,4,4,54499,success,success,
014,no_termination,Grok-4,recovery_a,-5.222896575927734,5,0,True,4,0,50074,success,success,
017,no_termination,Grok-4,recovery_a,-5.362604141235352,5,0,True,4,1,50319,success,success,
018,no_termination,Grok-4,recovery_a,-6.991722106933594,5,0,True,5,2,60956,success,success,
020,no_termination,Grok-4,recovery_a,-6.176261901855469,5,0,True,4,0,51678,success,success,
021,no_termination,Grok-4,recovery_a,-3.6088905334472656,5,0,True,4,0,50176,success,success,
022,no_termination,Grok-4,recovery_a,-3.3845252990722656,5,0,True,5,2,56957,success,success,
001,single_shot,Grok-4,recovery_a,-4.743168592453003,1,0,True,1,0,9399,success,success,
002,single_shot,Grok-4,recovery_a,-6.576652526855469,1,0,True,1,0,7404,success,success,
006,single_shot,Grok-4,recovery_a,-7.403881072998047,1,0,True,0,0,8006,success,success,
007,single_shot,Grok-4,recovery_a,-10.710731506347656,1,0,True,0,0,8525,success,success,
008,single_shot,Grok-4,recovery_a,-4.346963882446289,1,0,True,1,0,8108,success,success,
009,single_shot,Grok-4,recovery_a,,1,0,False,1,1,8390,natural_failure,failed,
010,single_shot,Grok-4,recovery_a,-7.707094192504883,1,0,True,1,0,9321,success,success,
011,single_shot,Grok-4,recovery_a,-4.357383728027344,1,0,True,1,0,12599,success,success,
014,single_shot,Grok-4,recovery_a,-5.207904815673828,1,0,True,1,0,8422,success,success,
018,single_shot,Grok-4,recovery_a,-6.991722106933594,1,0,True,1,0,7916,success,success,
020,single_shot,Grok-4,recovery_a,-6.0458221435546875,1,0,True,1,0,9194,success,success,
021,single_shot,Grok-4,recovery_a,-3.4414920806884766,1,0,True,1,0,7407,success,success,
022,single_shot,Grok-4,recovery_a,-2.735881805419922,1,0,True,1,0,9745,success,success,
001,single_shot,Grok-4,recovery_b_dedicated_single_shot,-4.743199110031128,1,0,True,1,0,7653,success,success,
002,single_shot,Grok-4,recovery_b_dedicated_single_shot,-6.576652526855469,1,0,True,1,0,8328,success,success,
006,single_shot,Grok-4,recovery_b_dedicated_single_shot,-7.403881072998047,1,0,True,0,0,9776,success,success,
007,single_shot,Grok-4,recovery_b_dedicated_single_shot,-10.710914611816406,1,0,True,0,0,10610,success,success,
008,single_shot,Grok-4,recovery_b_dedicated_single_shot,-4.346961975097656,1,0,True,1,0,8561,success,success,
009,single_shot,Grok-4,recovery_b_dedicated_single_shot,,1,0,False,1,1,8056,natural_failure,failed,
010,single_shot,Grok-4,recovery_b_dedicated_single_shot,-7.707033157348633,1,0,True,1,0,9826,success,success,
011,single_shot,Grok-4,recovery_b_dedicated_single_shot,,1,0,False,0,1,12751,natural_failure,failed,
014,single_shot,Grok-4,recovery_b_dedicated_single_shot,-5.20787239074707,1,0,True,1,0,8028,success,success,
018,single_shot,Grok-4,recovery_b_dedicated_single_shot,-6.991722106933594,1,0,True,1,0,7758,success,success,
020,single_shot,Grok-4,recovery_b_dedicated_single_shot,-6.176261901855469,1,0,True,1,0,9450,success,success,
021,single_shot,Grok-4,recovery_b_dedicated_single_shot,-3.2959938049316406,1,0,True,1,0,9289,success,success,
022,single_shot,Grok-4,recovery_b_dedicated_single_shot,-2.735858917236328,1,0,True,1,0,9076,success,success,
