dataset,case_id,variant,backend_count,success_backend_count,min_energy_eV,max_energy_eV,range_energy_eV,mean_energy_eV,success_backends
cmu20,03,no_forbid,4,4,-3.35196375847,-3.35196375847,0,-3.35196375847,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,03,no_slip,4,4,-3.35196375847,-3.35196375847,0,-3.35196375847,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,03,no_termination,4,4,-3.35196375847,-3.35196375847,0,-3.35196375847,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,03,one_shot,4,4,-3.35196375847,-3.3202559948,0.0317077636719,-3.34403681755,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,04,full,4,4,-2.28484725952,-2.06032943726,0.224517822266,-2.21374893188,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,04,no_forbid,4,4,-2.2851524353,-1.84521102905,0.43994140625,-2.10606002808,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,04,no_slip,4,4,-2.28332138062,-2.03896713257,0.244354248047,-2.19300460815,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,04,no_termination,4,4,-2.25490951538,-1.84521102905,0.409698486328,-2.14944076538,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,04,one_shot,4,4,-2.24273300171,-1.65794181824,0.584791183472,-1.85095691681,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,05,full,4,4,-2.96164393425,-2.96162867546,1.52587890629e-05,-2.96164011955,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,05,no_forbid,4,4,-2.96164393425,-2.96164393425,0,-2.96164393425,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,05,no_slip,4,4,-2.96164393425,-2.96162867546,1.52587890629e-05,-2.96164011955,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,05,no_termination,4,4,-2.96164393425,-2.96164393425,0,-2.96164393425,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,05,one_shot,4,4,-2.96164393425,-2.84261012077,0.119033813477,-2.92452287674,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,06,full,4,4,-2.16463851929,-1.874584198,0.290054321289,-2.01960754395,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,06,no_forbid,4,4,-1.9020652771,-1.874584198,0.0274810791016,-1.88145446777,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,06,no_slip,4,4,-2.1646232605,-1.76786422729,0.396759033203,-1.99292373657,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,06,no_termination,4,4,-2.16460800171,-1.874584198,0.290023803711,-1.9539604187,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,07,full,4,4,-7.05109095573,-7.03070521355,0.0203857421875,-7.04599452019,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,07,no_forbid,4,4,-7.05109095573,-7.03070521355,0.0203857421875,-7.04599452019,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,07,no_slip,4,4,-7.05109095573,-7.05109095573,0,-7.05109095573,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,07,no_termination,4,4,-7.05109095573,-7.03070521355,0.0203857421875,-7.03580164909,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,07,one_shot,4,4,-6.88312220573,-6.51117396355,0.371948242188,-6.79013514519,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,08,full,4,4,-7.19060897827,-6.41436386108,0.776245117188,-6.72219467163,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,08,no_forbid,4,4,-7.19067001343,-6.41436386108,0.776306152344,-6.71906661987,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,08,no_slip,4,4,-7.19067001343,-6.41436386108,0.776306152344,-6.85306930542,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,08,no_termination,4,4,-7.19067001343,-6.86944198608,0.321228027344,-7.1103477478,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,08,one_shot,4,1,-6.41436386108,-6.41436386108,0,-6.41436386108,google_vertexai_gemini25pro_mace_mp0_small
cmu20,09,full,4,4,-1.99125671387,-1.97393226624,0.0173244476318,-1.98259449005,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,09,no_forbid,4,4,-1.99125671387,-1.97393226624,0.0173244476318,-1.98259449005,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,09,no_slip,4,4,-1.99125671387,-1.97393226624,0.0173244476318,-1.98259449005,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,09,no_termination,4,4,-1.99125671387,-1.97393226624,0.0173244476318,-1.98259449005,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,09,one_shot,4,4,-1.99125671387,-1.80138587952,0.189870834351,-1.89257717133,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,10,full,4,4,-2.71766662598,-2.70952606201,0.00814056396484,-2.71563148499,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,10,no_forbid,4,4,-2.71766662598,-2.70952606201,0.00814056396484,-2.71563148499,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,10,no_slip,4,4,-2.71766662598,-2.70952606201,0.00814056396484,-2.71563148499,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,10,no_termination,4,4,-2.71766662598,-2.71766662598,0,-2.71766662598,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,10,one_shot,4,4,-2.71766662598,-2.12209510803,0.595571517944,-2.56540966034,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,11,full,4,4,-2.41847229004,-2.38130950928,0.0371627807617,-2.4017124176,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,11,no_forbid,4,4,-2.41847229004,-2.41847229004,0,-2.41847229004,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,11,no_slip,4,4,-2.41847229004,-2.41847229004,0,-2.41847229004,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,11,no_termination,4,4,-2.41847229004,-2.41847229004,0,-2.41847229004,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,11,one_shot,4,4,-2.41847229004,-2.38130950928,0.0371627807617,-2.4017124176,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,12,full,4,4,-2.35136413574,-2.08132171631,0.270042419434,-2.28385353088,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,12,no_forbid,4,4,-2.35136413574,-2.35136413574,0,-2.35136413574,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,12,no_slip,4,4,-2.35136413574,-2.08132171631,0.270042419434,-2.28385353088,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,12,no_termination,4,4,-2.35136413574,-2.35136413574,0,-2.35136413574,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,12,one_shot,4,4,-2.08132171631,-1.60701942444,0.47430229187,-1.96263599396,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,13,full,4,4,-2.82514190674,-2.82514190674,0,-2.82514190674,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,13,no_forbid,4,4,-2.82514190674,-2.82514190674,0,-2.82514190674,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,13,no_slip,4,4,-2.82514190674,-2.82514190674,0,-2.82514190674,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,13,no_termination,4,4,-2.83015441895,-2.82514190674,0.00501251220703,-2.82639503479,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,13,one_shot,4,4,-2.82514190674,-2.37643623352,0.448705673218,-2.59647274017,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,14,full,4,4,-3.61663246155,-3.57964324951,0.0369892120361,-3.60101222992,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,14,no_forbid,4,4,-3.61663246155,-3.59114074707,0.0254917144775,-3.60388660431,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,14,no_slip,4,4,-3.61663246155,-3.4312286377,0.185403823853,-3.56390857697,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,14,no_termination,4,4,-3.61663246155,-3.59114074707,0.0254917144775,-3.60388660431,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,14,one_shot,4,4,-3.61663246155,-3.24508094788,0.371551513672,-3.43656826019,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,15,full,4,4,-3.25770950317,-3.2576789856,3.0517578125e-05,-3.25770187378,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,15,no_forbid,4,4,-3.38510894775,-2.96356964111,0.421539306641,-3.21601676941,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,15,no_slip,4,4,-3.25770950317,-2.96350860596,0.294200897217,-3.18415927887,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,15,no_termination,4,4,-3.25770950317,-3.2576789856,3.0517578125e-05,-3.25770187378,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,15,one_shot,4,4,-2.96369171143,-2.58724594116,0.376445770264,-2.80176639557,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,16,full,4,4,-4.66291046143,-4.27205276489,0.390857696533,-4.56519603729,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,16,no_forbid,4,4,-4.66291046143,-4.66291046143,0,-4.66291046143,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,16,no_slip,4,4,-4.66291046143,-4.27205276489,0.390857696533,-4.56519603729,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,16,no_termination,4,4,-4.66291046143,-4.66291046143,0,-4.66291046143,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,16,one_shot,4,4,-4.66291046143,-4.53757858276,0.125331878662,-4.60381507874,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,17,full,4,4,-3.24101638794,-2.86557006836,0.37544631958,-3.14244747162,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,17,no_forbid,4,4,-3.24098587036,-3.06433105469,0.176654815674,-3.15266609192,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,17,no_slip,4,4,-3.24098587036,-3.06436157227,0.176624298096,-3.17299556732,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,17,no_termination,4,4,-3.24098587036,-3.06436157227,0.176624298096,-3.15267372131,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,17,one_shot,4,4,-3.06642150879,-2.69247436523,0.373947143555,-2.8061466217,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,18,full,4,4,-3.12913513184,-2.72401428223,0.405120849609,-2.83898925781,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,18,no_forbid,4,4,-3.21478652954,-2.83752822876,0.377258300781,-3.07764625549,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,18,no_slip,4,4,-3.21478652954,-2.77876281738,0.436023712158,-2.99677467346,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,18,no_termination,4,4,-3.21478652954,-3.12913513184,0.0856513977051,-3.17196083069,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,18,one_shot,4,4,-2.5189666748,-2.41798400879,0.100982666016,-2.46848297119,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,19,full,4,4,-4.04470062256,-3.8413848877,0.203315734863,-3.97778511047,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,19,no_forbid,4,4,-4.14880752563,-3.59394836426,0.554859161377,-3.98342514038,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,19,no_slip,4,4,-4.14880752563,-3.59391784668,0.554889678955,-3.92092323303,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,19,no_termination,4,4,-4.02721405029,-3.59391784668,0.433296203613,-3.91154670715,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,19,one_shot,4,4,-4.01252746582,-3.13274383545,0.879783630371,-3.68792915344,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,20,full,4,4,-11.6527061462,-11.6522789001,0.00042724609375,-11.6524772644,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,20,no_forbid,4,4,-11.6522789001,-11.6495323181,0.00274658203125,-11.6515922546,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,20,no_slip,4,4,-11.8299942017,-11.6522789001,0.177715301514,-11.697104454,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,20,no_termination,4,4,-11.6522789001,-11.6522789001,0,-11.6522789001,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,20,one_shot,4,4,-11.6522789001,-10.6025009155,1.04977798462,-11.1278781891,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
ocd62,001,full,4,4,-4.28463745117,-3.35656738281,0.928070068359,-3.87348937988,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
ocd62,001,no_forbid,4,4,-4.28457641602,-3.35653686523,0.928039550781,-3.82051849365,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
ocd62,001,no_slip,4,4,-4.28469848633,-1.79829788208,2.48640060425,-3.63254261017,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
ocd62,001,no_termination,4,4,-4.28457641602,-3.35653686523,0.928039550781,-3.82046508789,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
ocd62,001,one_shot,4,1,-4.35738372803,-4.35738372803,0,-4.35738372803,xai_grok4_0709_mace_mp0_small
ocd62,002,full,4,4,-4.34696388245,-4.3469619751,1.90734863281e-06,-4.34696245193,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
ocd62,002,no_forbid,4,4,-4.3469619751,-4.3469619751,0,-4.3469619751,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
ocd62,002,no_slip,4,4,-4.3469619751,-4.3469619751,0,-4.3469619751,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
ocd62,002,no_termination,4,4,-7.04744529724,-4.3469619751,2.70048332214,-5.02208328247,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
ocd62,002,one_shot,4,4,-4.3469619751,-4.3469619751,0,-4.3469619751,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
