dataset,case_id,backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,variant,full_energy_eV,variant_energy_eV,delta_variant_minus_full_eV,within_0.01eV_of_full
cmu20,01,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-3.6317179203,-3.6311686039,0.00054931640625,TRUE
cmu20,01,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-3.6317179203,-3.6317179203,0,TRUE
cmu20,01,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-3.6317179203,-3.6317179203,0,TRUE
cmu20,01,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-3.6317179203,-3.6317179203,0,TRUE
cmu20,01,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-3.6317179203,-3.6311686039,0.00054931640625,TRUE
cmu20,02,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-4.76903915405,-4.76440048218,0.004638671875,TRUE
cmu20,02,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-4.76903915405,-4.76903915405,0,TRUE
cmu20,02,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-4.76903915405,-4.76903915405,0,TRUE
cmu20,02,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-4.76903915405,-4.34286117554,0.426177978516,FALSE
cmu20,02,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-4.76903915405,-4.76903915405,0,TRUE
cmu20,02,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-4.76903915405,-4.76903915405,0,TRUE
cmu20,02,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-4.76903915405,-4.76903915405,0,TRUE
cmu20,02,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-4.76903915405,-4.34286117554,0.426177978516,FALSE
cmu20,02,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-4.76595878601,-4.76577568054,0.00018310546875,TRUE
cmu20,02,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-4.76595878601,-4.76571464539,0.000244140625,TRUE
cmu20,02,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-4.76595878601,-4.76595878601,0,TRUE
cmu20,02,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-4.76595878601,-4.76595878601,0,TRUE
cmu20,02,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-4.76595878601,-4.76595878601,0,TRUE
cmu20,02,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-4.76595878601,-4.7599773407,0.0059814453125,TRUE
cmu20,02,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-4.76595878601,-4.76595878601,0,TRUE
cmu20,02,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-4.76595878601,-4.15049552917,0.615463256836,FALSE
cmu20,03,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-3.35196375847,-3.35196375847,0,TRUE
cmu20,03,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-3.35196375847,-3.3202559948,0.0317077636719,FALSE
cmu20,04,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.25490951538,-2.25490951538,0,TRUE
cmu20,04,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.25490951538,-2.25490951538,0,TRUE
cmu20,04,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.25490951538,-2.25490951538,0,TRUE
cmu20,04,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-2.25490951538,-2.24273300171,0.0121765136719,FALSE
cmu20,04,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.28484725952,-2.28332138062,0.00152587890625,TRUE
cmu20,04,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.28484725952,-2.2851524353,-0.00030517578125,TRUE
cmu20,04,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.28484725952,-2.24273300171,0.0421142578125,FALSE
cmu20,04,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-2.28484725952,-1.84521102905,0.439636230469,FALSE
cmu20,04,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.06032943726,-2.19482040405,-0.134490966797,FALSE
cmu20,04,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.06032943726,-2.03896713257,0.0213623046875,FALSE
cmu20,04,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.06032943726,-1.84521102905,0.215118408203,FALSE
cmu20,04,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-2.06032943726,-1.65794181824,0.402387619019,FALSE
cmu20,04,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.25490951538,-2.03896713257,0.215942382812,FALSE
cmu20,04,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.25490951538,-1.84521102905,0.409698486328,FALSE
cmu20,04,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.25490951538,-2.25490951538,0,TRUE
cmu20,04,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-2.25490951538,-1.65794181824,0.596967697144,FALSE
cmu20,05,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.96164393425,-2.96164393425,0,TRUE
cmu20,05,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.96164393425,-2.96164393425,0,TRUE
cmu20,05,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.96164393425,-2.96164393425,0,TRUE
cmu20,05,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-2.96164393425,-2.84261012077,0.119033813477,FALSE
cmu20,05,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.96164393425,-2.96162867546,1.52587890629e-05,TRUE
cmu20,05,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.96164393425,-2.96164393425,0,TRUE
cmu20,05,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.96164393425,-2.96164393425,0,TRUE
cmu20,05,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-2.96164393425,-2.96164393425,0,TRUE
cmu20,05,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.96164393425,-2.96164393425,0,TRUE
cmu20,05,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.96164393425,-2.96164393425,0,TRUE
cmu20,05,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.96164393425,-2.96164393425,0,TRUE
cmu20,05,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-2.96164393425,-2.94691872597,0.0147252082825,FALSE
cmu20,05,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.96162867546,-2.96164393425,-1.52587890629e-05,TRUE
cmu20,05,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.96162867546,-2.96164393425,-1.52587890629e-05,TRUE
cmu20,05,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.96162867546,-2.96164393425,-1.52587890629e-05,TRUE
cmu20,05,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-2.96162867546,-2.94691872597,0.0147099494934,FALSE
cmu20,06,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.1646232605,-2.1646232605,0,TRUE
cmu20,06,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.1646232605,-1.874584198,0.2900390625,FALSE
cmu20,06,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.1646232605,-1.9020652771,0.262557983398,FALSE
cmu20,06,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-1.874584198,-2.1646232605,-0.2900390625,FALSE
cmu20,06,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-1.874584198,-1.874584198,0,TRUE
cmu20,06,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-1.874584198,-2.16460800171,-0.290023803711,FALSE
cmu20,06,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.16463851929,-1.874584198,0.290054321289,FALSE
cmu20,06,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.16463851929,-1.874584198,0.290054321289,FALSE
cmu20,06,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.16463851929,-1.874584198,0.290054321289,FALSE
cmu20,06,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-1.874584198,-1.76786422729,0.106719970703,FALSE
cmu20,06,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-1.874584198,-1.9020652771,-0.0274810791016,FALSE
cmu20,06,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-1.874584198,-1.874584198,0,TRUE
cmu20,07,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-7.03070521355,-7.05109095573,-0.0203857421875,FALSE
cmu20,07,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-7.03070521355,-7.05109095573,-0.0203857421875,FALSE
cmu20,07,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-7.03070521355,-7.03070521355,0,TRUE
cmu20,07,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-7.03070521355,-6.51117396355,0.51953125,FALSE
cmu20,07,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-7.05109095573,-7.05109095573,0,TRUE
cmu20,07,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-7.05109095573,-7.05109095573,0,TRUE
cmu20,07,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-7.05109095573,-7.05109095573,0,TRUE
cmu20,07,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-7.05109095573,-6.88312220573,0.16796875,FALSE
cmu20,07,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-7.05109095573,-7.05109095573,0,TRUE
cmu20,07,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-7.05109095573,-7.05109095573,0,TRUE
cmu20,07,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-7.05109095573,-7.03070521355,0.0203857421875,FALSE
cmu20,07,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-7.05109095573,-6.88312220573,0.16796875,FALSE
cmu20,07,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-7.05109095573,-7.05109095573,0,TRUE
cmu20,07,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-7.05109095573,-7.03070521355,0.0203857421875,FALSE
cmu20,07,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-7.05109095573,-7.03070521355,0.0203857421875,FALSE
cmu20,07,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-7.05109095573,-6.88312220573,0.16796875,FALSE
cmu20,08,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-7.19060897827,-7.19067001343,-6.103515625e-05,TRUE
cmu20,08,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-7.19060897827,-7.19067001343,-6.103515625e-05,TRUE
cmu20,08,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-7.19060897827,-7.19067001343,-6.103515625e-05,TRUE
cmu20,08,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-6.86944198608,-7.19060897827,-0.321166992188,FALSE
cmu20,08,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-6.86944198608,-6.8568687439,0.0125732421875,FALSE
cmu20,08,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-6.86944198608,-7.19067001343,-0.321228027344,FALSE
cmu20,08,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-6.41436386108,-6.41436386108,0,TRUE
cmu20,08,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-6.41436386108,-6.41436386108,0,TRUE
cmu20,08,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-6.41436386108,-6.86944198608,-0.455078125,FALSE
cmu20,08,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-6.41436386108,-6.41436386108,0,TRUE
cmu20,08,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-6.41436386108,-6.6166343689,-0.202270507812,FALSE
cmu20,08,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-6.41436386108,-6.41436386108,0,TRUE
cmu20,08,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-6.41436386108,-7.19060897827,-0.776245117188,FALSE
cmu20,09,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-1.99125671387,-1.99125671387,0,TRUE
cmu20,09,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-1.99125671387,-1.99125671387,0,TRUE
cmu20,09,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-1.99125671387,-1.99125671387,0,TRUE
cmu20,09,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-1.99125671387,-1.99125671387,0,TRUE
cmu20,09,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-1.99125671387,-1.99125671387,0,TRUE
cmu20,09,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-1.99125671387,-1.99125671387,0,TRUE
cmu20,09,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-1.99125671387,-1.99125671387,0,TRUE
cmu20,09,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-1.99125671387,-1.80373382568,0.187522888184,FALSE
cmu20,09,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-1.97393226624,-1.97393226624,0,TRUE
cmu20,09,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-1.97393226624,-1.97393226624,0,TRUE
cmu20,09,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-1.97393226624,-1.97393226624,0,TRUE
cmu20,09,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-1.97393226624,-1.80138587952,0.172546386719,FALSE
cmu20,09,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-1.97393226624,-1.97393226624,0,TRUE
cmu20,09,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-1.97393226624,-1.97393226624,0,TRUE
cmu20,09,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-1.97393226624,-1.97393226624,0,TRUE
cmu20,09,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-1.97393226624,-1.97393226624,0,TRUE
cmu20,10,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.70952606201,-2.70952606201,0,TRUE
cmu20,10,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.70952606201,-2.70952606201,0,TRUE
cmu20,10,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.70952606201,-2.71766662598,-0.00814056396484,TRUE
cmu20,10,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-2.70952606201,-2.71766662598,-0.00814056396484,TRUE
cmu20,10,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.71766662598,-2.71766662598,0,TRUE
cmu20,10,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.71766662598,-2.71766662598,0,TRUE
cmu20,10,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.71766662598,-2.71766662598,0,TRUE
cmu20,10,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-2.71766662598,-2.70952606201,0.00814056396484,TRUE
cmu20,10,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.71766662598,-2.71766662598,0,TRUE
cmu20,10,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.71766662598,-2.71766662598,0,TRUE
cmu20,10,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.71766662598,-2.71766662598,0,TRUE
cmu20,10,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-2.71766662598,-2.12209510803,0.595571517944,FALSE
cmu20,10,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.71766662598,-2.71766662598,0,TRUE
cmu20,10,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.71766662598,-2.71766662598,0,TRUE
cmu20,10,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-2.71766662598,-2.71766662598,0,TRUE
cmu20,10,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-2.71766662598,-2.71235084534,0.00531578063965,TRUE
