seq_id,case_id,ocd_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,ablation_candidate,notes,surface_formula,surface_elements,bare_slab_atoms,adsorbate_atoms,y_relaxed,site_indices
028,028,351,datasets/ocd62/028_Ca24Pb24Pd24_CH2_O.xyz,[CH2][O],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH2][O] on the provided surface.,intermetallic,[CH2][O],,GENERALIZATION,FALSE,OCD id=351; adsorbate=[CH2][O]; surface_formula=Ca24Pb24Pd24; y_relaxed=-1.985185 eV; site=5;10;17;52;59,Ca24Pb24Pd24,Ca;Pb;Pd,72,4,-1.985185,5;10;17;52;59
029,029,362,datasets/ocd62/029_In18N18Ti36_O_N.xyz,O=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES O=N on the provided surface.,intermetallic,O=N,,GENERALIZATION,FALSE,OCD id=362; adsorbate=O=N; surface_formula=In18N18Ti36; y_relaxed=-1.779823 eV; site=61;62;65,In18N18Ti36,In;N;Ti,72,3,-1.779823,61;62;65
030,030,384,datasets/ocd62/030_Cd16Pd48_C_CH2_O.xyz,C([CH2])O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C([CH2])O on the provided surface.,intermetallic,C([CH2])O,,GENERALIZATION,FALSE,OCD id=384; adsorbate=C([CH2])O; surface_formula=Cd16Pd48; y_relaxed=-3.061927 eV; site=16;48,Cd16Pd48,Cd;Pd,64,8,-3.061927,16;48
031,031,439,datasets/ocd62/031_Ca16Pb16Pd16_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,FALSE,OCD id=439; adsorbate=[OH]; surface_formula=Ca16Pb16Pd16; y_relaxed=-1.033571 eV; site=3;11;16,Ca16Pb16Pd16,Ca;Pb;Pd,48,2,-1.033571,3;11;16
032,032,479,datasets/ocd62/032_Ni6Sc36Te12_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,FALSE,OCD id=479; adsorbate=[OH]; surface_formula=Ni6Sc36Te12; y_relaxed=-2.695426 eV; site=27;28;30,Ni6Sc36Te12,Ni;Sc;Te,54,2,-2.695426,27;28;30
033,033,491,datasets/ocd62/033_Ca24Zn48_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,FALSE,OCD id=491; adsorbate=[NH2]; surface_formula=Ca24Zn48; y_relaxed=-2.204584 eV; site=3;6,Ca24Zn48,Ca;Zn,72,3,-2.204584,3;6
034,034,502,datasets/ocd62/034_Hf40Sb24Zn8_CH2_C.xyz,[CH2]C,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH2]C on the provided surface.,intermetallic,[CH2]C,,GENERALIZATION,FALSE,OCD id=502; adsorbate=[CH2]C; surface_formula=Hf40Sb24Zn8; y_relaxed=-5.624261 eV; site=6;34,Hf40Sb24Zn8,Hf;Sb;Zn,72,7,-5.624261,6;34
035,035,513,datasets/ocd62/035_Pd24Zr24_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,FALSE,OCD id=513; adsorbate=[OH]; surface_formula=Pd24Zr24; y_relaxed=-1.992712 eV; site=11;19;41,Pd24Zr24,Pd;Zr,48,2,-1.992712,11;19;41
036,036,530,datasets/ocd62/036_Co32Y48_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,FALSE,OCD id=530; adsorbate=[NH]; surface_formula=Co32Y48; y_relaxed=-2.517605 eV; site=65;66;77,Co32Y48,Co;Y,80,2,-2.517605,65;66;77
037,037,547,datasets/ocd62/037_Pd144Si32_C_O.xyz,C[O],Find the lowest-energy adsorption configuration for the adsorbate with SMILES C[O] on the provided surface.,compound,C[O],,GENERALIZATION,FALSE,OCD id=547; adsorbate=C[O]; surface_formula=Pd144Si32; y_relaxed=-1.661973 eV; site=23;75;115,Pd144Si32,Pd;Si,176,5,-1.661973,23;75;115
038,038,552,datasets/ocd62/038_Bi16Pd48_C_C_O.xyz,C(C)O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(C)O on the provided surface.,intermetallic,C(C)O,,GENERALIZATION,FALSE,OCD id=552; adsorbate=C(C)O; surface_formula=Bi16Pd48; y_relaxed=-3.833955 eV,Bi16Pd48,Bi;Pd,64,9,-3.833955,
039,039,573,datasets/ocd62/039_Fe16Si24Zr24_CH3.xyz,[CH3],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH3] on the provided surface.,intermetallic,[CH3],,GENERALIZATION,FALSE,OCD id=573; adsorbate=[CH3]; surface_formula=Fe16Si24Zr24; y_relaxed=-3.092438 eV; site=47;49,Fe16Si24Zr24,Fe;Si;Zr,64,4,-3.092438,47;49
040,040,591,datasets/ocd62/040_Sb20Ta60_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,intermetallic,[N]=N,,GENERALIZATION,FALSE,OCD id=591; adsorbate=[N]=N; surface_formula=Sb20Ta60; y_relaxed=-2.326445 eV; site=13;18;21;38,Sb20Ta60,Sb;Ta,80,3,-2.326445,13;18;21;38
041,041,596,datasets/ocd62/041_Cr18Pt18_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,FALSE,OCD id=596; adsorbate=[H]; surface_formula=Cr18Pt18; y_relaxed=-1.602807 eV; site=28;34,Cr18Pt18,Cr;Pt,36,1,-1.602807,28;34
042,042,614,datasets/ocd62/042_Na8Pb24_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,FALSE,OCD id=614; adsorbate=[NH2]; surface_formula=Na8Pb24; y_relaxed=-0.260645 eV; site=1;11,Na8Pb24,Na;Pb,32,3,-0.260645,1;11
043,043,627,datasets/ocd62/043_Co32Y96_CH_O.xyz,[CH]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH]=O on the provided surface.,intermetallic,[CH]=O,,GENERALIZATION,FALSE,OCD id=627; adsorbate=[CH]=O; surface_formula=Co32Y96; y_relaxed=-3.218750 eV; site=6;8;17;67,Co32Y96,Co;Y,128,3,-3.218750,6;8;17;67
044,044,632,datasets/ocd62/044_Al36Zr12_C_O_C.xyz,C(=O)C,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(=O)C on the provided surface.,intermetallic,C(=O)C,,GENERALIZATION,FALSE,OCD id=632; adsorbate=C(=O)C; surface_formula=Al36Zr12; y_relaxed=-4.597119 eV; site=10;39;47,Al36Zr12,Al;Zr,48,7,-4.597119,10;39;47
045,045,665,datasets/ocd62/045_Ga16Mn32V16_CH2_O.xyz,[CH2][O],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH2][O] on the provided surface.,intermetallic,[CH2][O],,GENERALIZATION,FALSE,OCD id=665; adsorbate=[CH2][O]; surface_formula=Ga16Mn32V16; y_relaxed=-4.696501 eV; site=9;16;24;27;43;53,Ga16Mn32V16,Ga;Mn;V,64,4,-4.696501,9;16;24;27;43;53
046,046,677,datasets/ocd62/046_Au36Ga36_N_O.xyz,[N]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=O on the provided surface.,intermetallic,[N]=O,,GENERALIZATION,FALSE,OCD id=677; adsorbate=[N]=O; surface_formula=Au36Ga36; y_relaxed=1.885671 eV; site=6;30;34,Au36Ga36,Au;Ga,72,2,1.885671,6;30;34
047,047,716,datasets/ocd62/047_Au24Si24Sr12_N.xyz,N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES N on the provided surface.,intermetallic,N,,GENERALIZATION,FALSE,OCD id=716; adsorbate=N; surface_formula=Au24Si24Sr12; y_relaxed=-1.576434 eV; site=6,Au24Si24Sr12,Au;Si;Sr,60,4,-1.576434,6
048,048,735,datasets/ocd62/048_Re27Ti27_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,FALSE,OCD id=735; adsorbate=[NH2]; surface_formula=Re27Ti27; y_relaxed=-4.360505 eV; site=29;38,Re27Ti27,Re;Ti,54,3,-4.360505,29;38
049,049,747,datasets/ocd62/049_As24V36_CH2_C.xyz,[CH2]C,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH2]C on the provided surface.,compound,[CH2]C,,GENERALIZATION,FALSE,OCD id=747; adsorbate=[CH2]C; surface_formula=As24V36; y_relaxed=-5.613152 eV; site=31;33,As24V36,As;V,60,7,-5.613152,31;33
050,050,768,datasets/ocd62/050_Ga24Y24_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,FALSE,OCD id=768; adsorbate=[H]; surface_formula=Ga24Y24; y_relaxed=-0.464746 eV; site=19;43;45;47,Ga24Y24,Ga;Y,48,1,-0.464746,19;43;45;47
051,051,775,datasets/ocd62/051_Na12Pb36_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,FALSE,OCD id=775; adsorbate=[H]; surface_formula=Na12Pb36; y_relaxed=0.597914 eV; site=7;26;47,Na12Pb36,Na;Pb,48,1,0.597914,7;26;47
052,052,778,datasets/ocd62/052_Co12Sb12Ti12_CO.xyz,CO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES CO on the provided surface.,intermetallic,CO,,GENERALIZATION,FALSE,OCD id=778; adsorbate=CO; surface_formula=Co12Sb12Ti12; y_relaxed=-1.584523 eV,Co12Sb12Ti12,Co;Sb;Ti,36,6,-1.584523,
053,053,780,datasets/ocd62/053_K20_C_CH2_O.xyz,C([CH2])O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C([CH2])O on the provided surface.,monometallic,C([CH2])O,,GENERALIZATION,FALSE,OCD id=780; adsorbate=C([CH2])O; surface_formula=K20; y_relaxed=-3.186096 eV; site=2;8;12,K20,K,20,8,-3.186096,2;8;12
054,054,794,datasets/ocd62/054_Ni38Se40_CH2_C.xyz,[CH2]C,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH2]C on the provided surface.,compound,[CH2]C,,GENERALIZATION,FALSE,OCD id=794; adsorbate=[CH2]C; surface_formula=Ni38Se40; y_relaxed=-3.938025 eV; site=54,Ni38Se40,Ni;Se,78,7,-3.938025,54
055,055,800,datasets/ocd62/055_Co48Hf16_CH_O.xyz,[CH]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH]=O on the provided surface.,intermetallic,[CH]=O,,GENERALIZATION,FALSE,OCD id=800; adsorbate=[CH]=O; surface_formula=Co48Hf16; y_relaxed=-2.212683 eV; site=4;12;32,Co48Hf16,Co;Hf,64,3,-2.212683,4;12;32
056,056,810,datasets/ocd62/056_Pd32Sb64_C_CH2_O.xyz,C([CH2])O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C([CH2])O on the provided surface.,intermetallic,C([CH2])O,,GENERALIZATION,FALSE,OCD id=810; adsorbate=C([CH2])O; surface_formula=Pd32Sb64; y_relaxed=-5.569788 eV; site=29,Pd32Sb64,Pd;Sb,96,8,-5.569788,29
057,057,834,datasets/ocd62/057_Os32S64_CH3.xyz,[CH3],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH3] on the provided surface.,compound,[CH3],,GENERALIZATION,FALSE,OCD id=834; adsorbate=[CH3]; surface_formula=Os32S64; y_relaxed=-2.931008 eV; site=20,Os32S64,Os;S,96,4,-2.931008,20
058,058,857,datasets/ocd62/058_Tl24Y8_CH3.xyz,[CH3],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH3] on the provided surface.,intermetallic,[CH3],,GENERALIZATION,FALSE,OCD id=857; adsorbate=[CH3]; surface_formula=Tl24Y8; y_relaxed=-2.095021 eV; site=29,Tl24Y8,Tl;Y,32,4,-2.095021,29
059,059,869,datasets/ocd62/059_Cu48Ga16_C_CH2_O.xyz,C([CH2])O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C([CH2])O on the provided surface.,intermetallic,C([CH2])O,,GENERALIZATION,FALSE,OCD id=869; adsorbate=C([CH2])O; surface_formula=Cu48Ga16; y_relaxed=-3.310403 eV; site=12;56,Cu48Ga16,Cu;Ga,64,8,-3.310403,12;56
060,060,876,datasets/ocd62/060_S36Sn24_CH3.xyz,[CH3],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH3] on the provided surface.,compound,[CH3],,GENERALIZATION,FALSE,OCD id=876; adsorbate=[CH3]; surface_formula=S36Sn24; y_relaxed=-2.011142 eV; site=25,S36Sn24,S;Sn,60,4,-2.011142,25
061,061,909,datasets/ocd62/061_Mo36N36_N_O.xyz,[N]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=O on the provided surface.,compound,[N]=O,,GENERALIZATION,FALSE,OCD id=909; adsorbate=[N]=O; surface_formula=Mo36N36; y_relaxed=-3.208998 eV; site=8;11;32;35,Mo36N36,Mo;N,72,2,-3.208998,8;11;32;35
062,062,929,datasets/ocd62/062_Cr32Ir96_CH_O.xyz,[CH]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH]=O on the provided surface.,intermetallic,[CH]=O,,GENERALIZATION,FALSE,OCD id=929; adsorbate=[CH]=O; surface_formula=Cr32Ir96; y_relaxed=-2.235306 eV; site=20;95,Cr32Ir96,Cr;Ir,128,3,-2.235306,20;95
